Time;Flow rate (Mean);TS outlet pressure (Mean);TS inlet pressure (Mean);Pump outlet pressure (Mean);Temperature TS outlet (Mean);Tank temperature (Mean);Temperature TS inlet (Mean);Bypass temperature (Mean)
19:01:18,742;383,02218;0,106777;0,119911;0,16925;-0,041668;-2,467076;0,054193;24,12972
19:01:18,752;383,02218;0,107302;0,122011;0,166494;-0,369821;-2,808324;-0,405198;24,090338
19:01:18,762;383,493661;0,104677;0,126736;0,164656;-0,028542;-2,5852;-0,011435;24,116592
19:01:18,772;381,136257;0,103102;0,115186;0,171087;-0,382948;-2,755824;-0,352696;24,07721
19:01:18,782;383,02218;0,109402;0,130412;0,165575;-0,015416;-2,624575;-0,011435;24,090338
19:01:18,792;380,664776;0,105202;0,120961;0,164656;-0,356695;-2,716449;-0,31332;24,182229
19:01:18,802;384,436622;0,108352;0,123586;0,165575;-0,081046;-2,467076;-0,050811;24,050956
19:01:18,812;382,550699;0,106252;0,125686;0,166494;-0,330443;-2,729574;-0,300194;24,07721
19:01:18,822;383,493661;0,114128;0,134087;0,16925;-0,041668;-2,480201;-0,050811;24,090338
19:01:18,832;383,965142;0,110977;0,126211;0,171087;-0,356695;-2,808324;-0,31332;24,12972
19:01:18,842;383,02218;0,114653;0,123586;0,170169;0,010837;-2,480201;-0,077062;24,116592
19:01:18,852;382,550699;0,106252;0,121486;0,171087;-0,343569;-2,742699;-0,352696;24,024701
19:01:18,862;385,851065;0,109927;0,123061;0,171087;-0,06792;-2,453951;-0,02456;24,07721
19:01:18,872;385,379584;0,112028;0,124111;0,171087;-0,356695;-2,860823;-0,31332;24,103465
19:01:18,882;383,965142;0,108877;0,123061;0,172006;-0,081046;-2,480201;-0,050811;24,142847
19:01:18,892;382,550699;0,110452;0,122011;0,16925;-0,330443;-2,677075;-0,326445;24,07721
19:01:18,902;383,493661;0,107827;0,123586;0,168331;-0,015416;-2,375202;0,054193;24,064083
19:01:18,912;382,079218;0,112028;0,122011;0,175681;-0,330443;-2,768949;-0,326445;24,103465
19:01:18,922;384,908103;0,106252;0,119386;0,16925;-0,054794;-2,493326;-0,077062;24,103465
19:01:18,932;382,550699;0,106252;0,124636;0,16925;-0,422326;-2,821448;-0,273943;24,050956
19:01:18,942;383,965142;0,111503;0,126211;0,170169;-0,015416;-2,545825;-0,037685;24,103465
