elapsed_runtime_s,Temperature TS inlet (Mean),Temperature TS outlet (Mean),Tank temperature (Mean),Bypass temperature (Mean),Pump outlet pressure (Mean),TS inlet pressure (Mean),TS outlet pressure (Mean),Differential pressure (Mean),Pump to inlet DP,Total system DP,Flow rate (Mean),Pressure_Ratio,Relative_Ratio_Dev,run_specific_time_s,label
1598.904,-1.152297,-1.121818,-1.294235,24.837283,0.406148,1.256703,0.595998,0.660705,-0.850555,-0.18985000000000002,1500.361028,-0.7767937132739366,0.0005226420323634073,0.0,0
1599.904,-1.129459,-1.1018005,-1.2546635,24.840040000000002,0.40555949999999996,1.2568005,0.5960635000000001,0.6607369999999999,-0.851241,-0.19050400000000003,1498.989019,-0.7762053005027958,0.00023524296377808174,1.0,0
1600.904,-1.142715,-1.118405,-1.293447,24.834133,0.404783,1.255624,0.594827,0.660797,-0.8508410000000001,-0.190044,1497.664158,-0.7766407315123878,0.0003255990933797026,2.0,0
1601.904,-1.141862,-1.1206365,-1.3021095,24.833016999999998,0.405271,1.25693,0.595738,0.661192,-0.8516590000000002,-0.190467,1497.7089485000001,-0.7763585852537052,3.7809769685037686e-05,3.0,0
1602.904,-1.141009,-1.122868,-1.310772,24.831901,0.405759,1.2582360000000001,0.596649,0.661587,-0.8524770000000002,-0.19089,1497.753739,-0.7760769804663123,0.00040052120912714706,4.0,0
1603.904,-1.1250885,-1.103581,-1.2339425,24.829264,0.4059165,1.258227,0.596419,0.661808,-0.8523105,-0.1905025,1498.8862175,-0.7764878838027736,0.00012872881541703407,5.0,0
1604.904,-1.13260925,-1.1067065,-1.25087275,24.831044,0.40549025,1.257385,0.596128,0.661257,-0.85189475,-0.19063775,1499.2453217500001,-0.7762200391774209,0.00021625931673774357,6.0,0
1605.904,-1.14013,-1.109832,-1.267803,24.832824,0.405064,1.256543,0.595837,0.660706,-0.851479,-0.19077299999999997,1499.604426,-0.7759519329918096,0.0005615843426605149,7.0,0
1606.904,-1.1409085,-1.112018,-1.315118,24.831537,0.405532,1.2561505,0.5957455,0.660405,-0.8506184999999999,-0.19021349999999998,1499.1042284999999,-0.7763830393802149,6.312466287683449e-06,8.0,0
1607.904,-1.12037,-1.096091,-1.226714,24.830861,0.405618,1.257992,0.596214,0.661778,-0.852374,-0.19059600000000004,1498.396344,-0.7763948412256138,8.888498057801897e-06,9.0,0
1608.904,-1.1223040000000002,-1.0986259999999999,-1.2341415,24.831535,0.4060675,1.25814,0.596253,0.661887,-0.8520725,-0.19018550000000004,1498.3024639999999,-0.776797487065346,0.0005275027356452799,10.0,0
1609.904,-1.124238,-1.101161,-1.241569,24.832209,0.406517,1.258288,0.596292,0.661996,-0.8517710000000001,-0.18977500000000003,1498.208584,-0.7772004179532034,0.0010464841197457275,11.0,0
1610.904,-1.130377,-1.11263,-1.301979,24.829801,0.404673,1.256717,0.595378,0.661339,-0.852044,-0.19070499999999996,1498.451531,-0.7761803101486664,0.00026743093686754094,12.0,0
1611.904,-1.1317854999999999,-1.1085984999999998,-1.2846185,24.8340405,0.4067485,1.258962,0.5971,0.661862,-0.8522135,-0.19035149999999995,1497.722335,-0.7766396292004635,0.00032417929811101587,13.0,0
1612.904,-1.133325,-1.103551,-1.21546,24.836096,0.405064,1.2549299999999999,0.594141,0.660789,-0.8498659999999999,-0.18907700000000005,1499.985183,-0.7775223123672582,0.001461089238327773,14.0,0
