elapsed_runtime_s,Temperature TS inlet (Mean),Temperature TS outlet (Mean),Tank temperature (Mean),Bypass temperature (Mean),Pump outlet pressure (Mean),TS inlet pressure (Mean),TS outlet pressure (Mean),Differential pressure (Mean),Pump to inlet DP,Total system DP,Flow rate (Mean),Pressure_Ratio,Relative_Ratio_Dev,run_specific_time_s,label
1891.387,-0.9814365,-0.2427095,21.691364,0.310067,0.1861425,0.028872500000000002,0.0024095,0.026463,0.15727000000000002,0.18373299999999998,404.11386300000004,0.1682636976937897,0.008965173520225855,0.0,0
1892.387,-0.985357,-0.238795,21.694823,0.314171,0.186993,0.029178,0.002452,0.026726,0.15781499999999998,0.18454099999999998,402.167871,0.1693491154255589,0.01547369975069901,1.0,0
1893.387,-0.983085,-0.235423,21.695341,0.311673,0.185901,0.028754,0.002403,0.026351,0.157147,0.18349800000000002,403.197394,0.16768269402092295,0.005481281987800957,2.0,0
1894.387,-0.989148,-0.219185,21.689724,0.307764,0.184817,0.028423,0.002447,0.025976,0.156394,0.18237,401.594956,0.16609226637680233,0.004055451876456284,3.0,0
1895.387,-0.988885,-0.227272,21.696394,0.312927,0.186641,0.029031,0.002496,0.026535,0.15761,0.184145,400.433967,0.16835753849667856,0.009527874229099842,4.0,0
1896.387,-0.987967,-0.22294,21.688125,0.313321,0.186457,0.02893,0.002533,0.026397,0.157527,0.183924,400.96674,0.16757020974049058,0.004806788778152882,5.0,0
1897.387,-0.977204,-0.220183,21.692587,0.316734,0.186541,0.028557,0.00238,0.026177,0.157984,0.18416100000000002,401.207196,0.16569294553280373,0.0064499126554444786,6.0,0
1898.387,-0.984816,-0.209551,21.692194,0.31634,0.186032,0.028475,0.002464,0.026011,0.157557,0.183568,401.306207,0.16508841188641643,0.010074897746025213,7.0,0
1899.387,-0.98311,-0.203513,21.6981,0.320147,0.185806,0.02883,0.002617,0.026213,0.156976,0.183189,401.655102,0.16698624639278364,0.0013051500496328305,8.0,0
1900.387,-0.987442,-0.199444,21.7002,0.323035,0.187202,0.028951,0.00248,0.026471,0.158251,0.184722,401.499514,0.16727118772590552,0.0030137531860001676,9.0,0
1901.387,-0.975366,-0.192356,21.6939,0.316996,0.187654,0.029024,0.00248,0.026544,0.15863,0.18517399999999998,403.036541,0.16733173213306354,0.00337679761632681,10.0,0
1902.387,-0.996761,-0.187368,21.689437,0.321328,0.186074,0.028759,0.002491,0.026268,0.15731499999999998,0.183583,402.44719,0.16697602278217094,0.001243845875308569,11.0,0
