Time,Temperature TS inlet (Mean),Temperature TS outlet (Mean),Tank temperature (Mean),Bypass temperature (Mean),Pump outlet pressure (Mean),TS inlet pressure (Mean),TS outlet pressure (Mean),Differential pressure (Mean),Pump to inlet DP,Total system DP,Flow rate (Mean),reading_interval_s,elapsed_runtime_s,Pressure_Ratio,Relative_Ratio_Dev,run_specific_time_s,label
2022-03-25 13:57:45.474,-1.862383,-1.774844,-1.244623,26.38237,0.340519,0.285057,0.212667,0.07239000000000001,0.05546200000000001,0.12785200000000002,899.883041,1.0,823.0,1.3051944539602978,0.0050705326310476195,0.0,0
2022-03-25 13:57:46.474,-1.864351,-1.773269,-1.238848,26.391428,0.338085,0.283619,0.210903,0.072716,0.054466000000000014,0.12718200000000002,901.641665,1.0,824.0,1.3350469091376427,0.02805854252826956,1.0,0
2022-03-25 13:57:47.474,-1.858576,-1.765524,-1.206167,26.395892,0.338278,0.283083,0.211312,0.07177099999999997,0.05519500000000005,0.12696600000000002,898.977798,1.0,825.0,1.3002934995289497,0.001296531856090688,2.0,0
2022-03-25 13:57:48.474,-1.863695,-1.771562,-1.159442,26.396023,0.337699,0.282989,0.210887,0.072102,0.054710000000000036,0.12681200000000004,897.308756,1.0,826.0,1.3178702637495192,0.014831593795325393,3.0,0
2022-03-25 13:57:49.474,-1.862908,-1.756861,-1.268379,26.388672,0.339509,0.28344,0.2118,0.07164000000000004,0.05606899999999998,0.12770900000000002,896.577961,1.0,827.0,1.2776886035313013,0.016110464313322193,4.0,0
2022-03-25 13:57:50.474,-1.859758,-1.757649,-1.224935,26.396811,0.340418,0.285351,0.211732,0.07361900000000002,0.05506699999999998,0.128686,899.732167,1.0,828.0,1.3368744098205863,0.029465817190842847,5.0,0
2022-03-25 13:57:51.474,-1.848338,-1.754498,-1.154061,26.398255,0.339444,0.283855,0.212105,0.07175000000000004,0.055589,0.12733900000000004,901.900979,1.0,829.0,1.2906997661449908,0.00609116328226833,6.0,0
2022-03-25 13:57:52.474,-1.840332,-1.76408,-1.282816,26.409675,0.337524,0.281876,0.210918,0.07095800000000002,0.055647999999999975,0.126606,899.119242,1.0,830.0,1.2750992830059849,0.0181043815810793,7.0,0
2022-03-25 13:57:53.474,-1.858445,-1.75056,-1.248429,26.406393,0.339141,0.284181,0.211422,0.07275900000000002,0.05496000000000001,0.12771900000000003,896.658112,1.0,831.0,1.3238296246429286,0.01942062496160535,8.0,0
2022-03-25 13:57:54.474,-1.850307,-1.742685,-1.394115,26.401274,0.338911,0.283262,0.211559,0.07170300000000002,0.055649000000000004,0.12735200000000002,897.879248,1.0,832.0,1.2884636118598385,0.007813123386836596,9.0,0
