elapsed_runtime_s,Temperature TS inlet (Mean),Temperature TS outlet (Mean),Tank temperature (Mean),Bypass temperature (Mean),Pump outlet pressure (Mean),TS inlet pressure (Mean),TS outlet pressure (Mean),Differential pressure (Mean),Pump to inlet DP,Total system DP,Flow rate (Mean),Pressure_Ratio,Relative_Ratio_Dev,run_specific_time_s,label
5011.0,-2.095753,21.001246,-2.543594,23.116421,0.124324,0.072647,0.071652,0.0009950000000000098,0.051677,0.05267200000000001,3.715851,0.01925384109292174,0.19399317163438967,0.0,0
5012.0,-2.090503,20.997702,-2.5495,23.104081,0.124315,0.072311,0.071101,0.0012100000000000027,0.052003999999999995,0.053214,3.810147,0.023266993558311754,0.0259940552624478,1.0,0
5013.0,-2.084727,20.994289,-2.543463,23.108019,0.124379,0.072809,0.071101,0.0017080000000000012,0.051570000000000005,0.053278000000000006,3.696992,0.033119388803785094,0.3864482104279945,2.0,0
5014.0,-2.085384,21.002296,-2.555932,23.109988,0.124095,0.071859,0.071405,0.00045400000000000995,0.05223599999999999,0.05269,3.437677,0.008691157608591803,0.6361696170068627,3.0,0
5015.0,-2.078821,20.999802,-2.553963,23.115371,0.124545,0.072374,0.070917,0.001457,0.05217100000000001,0.05362800000000001,3.607411,0.02792685731810166,0.16907777438015148,4.0,0
5016.0,-2.076983,20.998358,-2.556063,23.107232,0.124765,0.073424,0.072172,0.0012520000000000031,0.051341,0.052593,3.767714,0.02438549335826425,0.02082873048385725,5.0,0
5017.0,-2.070946,21.000064,-2.5453,23.120359,0.124627,0.072169,0.071295,0.0008739999999999998,0.052458000000000005,0.053332000000000004,3.805433,0.016660630206446935,0.3025505068592621,6.0,0
5018.0,-2.070027,20.99652,-2.549763,23.122591,0.123314,0.071912,0.071337,0.0005750000000000061,0.05140199999999999,0.051976999999999995,3.621555,0.011186117541777837,0.5317252761119005,7.0,0
5019.0,-2.06202,20.999539,-2.562888,23.111432,0.124462,0.073014,0.071689,0.0013249999999999929,0.05144800000000001,0.052773,3.574407,0.025753658963245014,0.07810305899978465,8.0,0
5020.0,-2.055195,21.000852,-2.559344,23.117208,0.124003,0.071486,0.07045,0.0010359999999999953,0.05251700000000001,0.053553,3.74414,0.01972656993792595,0.17420373454493232,9.0,0
5021.0,-2.050601,21.001115,-2.561969,23.109988,0.124012,0.072059,0.070791,0.0012679999999999914,0.051953,0.05322099999999999,3.659273,0.02440620548947129,0.02169578444479492,10.0,0
5022.0,-2.049289,21.003477,-2.560394,23.109726,0.124315,0.073502,0.071831,0.001670999999999992,0.050813,0.05248399999999999,3.451822,0.03288463809186429,0.376621045247878,11.0,0
5023.0,-2.04102,20.999014,-2.554488,23.117208,0.12426,0.071744,0.071216,0.0005280000000000007,0.05251599999999999,0.053043999999999994,3.635699,0.010053887312679718,0.5791228468891172,12.0,0
5024.0,-2.037213,20.998358,-2.560263,23.116027,0.123782,0.072521,0.071605,0.0009160000000000001,0.051261,0.052177,3.593266,0.01786898677382857,0.251966125295623,13.0,0
