elapsed_runtime_s,Temperature TS inlet (Mean),Temperature TS outlet (Mean),Tank temperature (Mean),Bypass temperature (Mean),Pump outlet pressure (Mean),TS inlet pressure (Mean),TS outlet pressure (Mean),Differential pressure (Mean),Pump to inlet DP,Total system DP,Flow rate (Mean),Pressure_Ratio,Relative_Ratio_Dev,run_specific_time_s,label,rel_tot_dp_change,rel_ts_dp_change,rel_p_ts_dp_change,anomaly_score,smooth_score
2176.0,-1.813294,21.07869,-1.975286,23.12351,0.134201,0.077661,0.075779,0.0018819999999999,0.0565399999999999,0.0584219999999999,3.838436,0.0332855803753027,0.0196820849950469,0.0,0,0.9978820073104899,1.012644605864891,0.9977500330877478,0.2638073780585727,0.2638073780585727
2177.0,-1.810143,21.073046,-1.979748,23.123116,0.133557,0.076994,0.075359,0.001635,0.056563,0.058198,3.569692,0.0289053107983878,0.1145046218211881,1.0,0,0.9940559560004107,0.8797417271993543,0.9981559094719203,0.260350317620897,0.260350317620897
2178.0,-1.805418,21.069502,-1.979486,23.12351,0.135569,0.077976,0.077018,0.000958,0.0575929999999999,0.0585509999999999,3.654559,0.0166336771191443,0.4904381304233381,2.0,0,1.0000854029310278,0.515469464622007,1.0163321127630467,0.011873991834785436,0.011873991834785436
2179.0,-1.800956,21.073177,-1.987755,23.130992,0.13568,0.077866,0.076624,0.001242,0.0578139999999999,0.059056,3.951592,0.0214823142783016,0.3419032876449227,3.0,0,1.0087110989649173,0.6682808716707023,1.020232055410949,0.07318285753705367,0.07318285753705367
2180.0,-1.799512,21.076721,-1.988936,23.129417,0.135064,0.078149,0.076682,0.0014669999999999,0.0569149999999999,0.0583819999999999,3.923303,0.0257748260594559,0.2104049837691418,4.0,0,0.9971987838622612,0.7893462469733119,1.0043675828296634,0.1812857975001974,0.1812857975001974
2181.0,-1.798462,21.075802,-1.990248,23.127973,0.135138,0.077409,0.076073,0.001336,0.057729,0.059065,3.876155,0.0231422137536809,0.291053347855593,5.0,0,1.0088648242407687,0.7188592951304815,1.01873207746945,0.10065186612074162,0.17618261677079153
2182.0,-1.796493,21.071996,-1.99668,23.13073,0.134871,0.077892,0.076399,0.001493,0.0569789999999999,0.0584719999999999,3.607411,0.0262021762021763,0.1973133903632666,6.0,0,0.9987360366207759,0.8033360236750068,1.0054969779856169,0.18872054669400978,0.16938995608462337
2183.0,-1.788749,21.071996,-1.991561,23.131648,0.134302,0.077834,0.076136,0.001698,0.056468,0.058166,3.767714,0.0300695957073793,0.0788375116148241,7.0,0,0.9935093772418278,0.9136400322841002,0.9964794635373017,0.2607212537077505,0.16722605007067518
2184.0,-1.787699,21.068189,-1.99353,23.130992,0.133613,0.077225,0.075138,0.002087,0.056388,0.058475,3.781858,0.0370107645108089,0.133800675791853,8.0,0,0.9987872783793947,1.1229486144740382,0.9950677195923597,0.1987327891629858,0.19082645177302676
2185.0,-1.788487,21.066483,-1.999436,23.134668,0.134302,0.077913,0.075916,0.0019969999999999,0.056389,0.058386,3.607411,0.0354140805107288,0.084887300933353,9.0,0,0.9972671062070858,1.074522464352919,0.9950853663916716,0.2224993694709212,0.18898256379070472
2186.0,-1.783499,21.075409,-2.001798,23.147401,0.134118,0.077766,0.075669,0.002097,0.0563519999999999,0.0584489999999999,3.87144,0.0372118609479531,0.1399611342246103,10.0,0,0.9983431831380444,1.1283292978208233,0.9944324348171342,0.19588077119689135,0.18120434990239406
2187.0,-1.777199,21.066877,-2.009148,23.142282,0.134366,0.07796,0.076021,0.0019389999999999,0.056406,0.058345,3.852581,0.0343751662027761,0.0530608374702021,11.0,0,0.9965668021726514,1.0433145009415659,0.9953853619799716,0.23871125748141486,0.19613117691733853
2188.0,-1.777067,21.071208,-2.011117,23.143988,0.134577,0.077671,0.075973,0.001698,0.056906,0.058604,3.555548,0.0298381569929886,0.0859274859573953,12.0,0,1.0009906739999326,0.9136400322841002,1.004208761635859,0.24787800885830147,0.1947403554171478
2189.0,-1.776936,21.064776,-2.012167,23.139656,0.134706,0.078028,0.076966,0.0010619999999999,0.0566779999999999,0.0577399999999999,3.791288,0.0187370983962312,0.4260011889832438,13.0,0,0.98623304751819,0.5714285714285177,1.0001852913927727,0.05474397771383288,0.1841556186306709
2190.0,-1.771555,21.06097,-2.003242,23.140444,0.134035,0.077461,0.07621,0.001251,0.0565739999999999,0.0578249999999999,3.706422,0.0221122403888643,0.3226059113465641,14.0,0,0.987684897345676,0.6731234866828087,0.9983500242643482,0.10350365861709121,0.17607108414770178
2191.0,-1.766961,21.072915,-2.008623,23.142413,0.134439,0.077682,0.075979,0.0017029999999999,0.056757,0.05846,3.838436,0.0300045808520384,0.0808291993817856,15.0,0,0.998531069586309,0.9163303739574388,1.0015793885384048,0.2499201362701861,0.1793979409504842
2192.0,-1.763286,21.067927,-2.016761,23.141494,0.134182,0.078165,0.07601,0.002155,0.056017,0.058172,3.635699,0.0384697775714949,0.1784965910494758,16.0,0,0.993611860759062,1.1595372612321764,0.9885207570476913,0.17481233169210247,0.1812275290830042
2193.0,-1.763548,21.081053,-2.013217,23.142282,0.133227,0.076737,0.074456,0.002281,0.05649,0.058771,3.668703,0.0403781133277868,0.2369572145659007,17.0,0,1.0038431318962875,1.2273338714016682,0.9968676931221607,0.15487388584298145,0.15963865734844718
2194.0,-1.755804,21.068583,-2.022011,23.147926,0.134017,0.078548,0.076115,0.002433,0.0554689999999999,0.0579019999999999,3.885584,0.0438615467820444,0.3436699306288124,18.0,0,0.9890001024835163,1.3091202582728005,0.9788503110248369,0.11788744433329479,0.15703925389667647
2195.0,-1.75121,21.079346,-2.021486,23.138475,0.134136,0.077351,0.075595,0.001756,0.056785,0.058541,3.404674,0.0309231148522524,0.0526905082754098,19.0,0,0.9999145970689722,0.9448479956954533,1.0020734989191344,0.25576793749874555,0.16997395668865528
2196.0,-1.750685,21.073046,-2.015711,23.14215,0.135854,0.078228,0.076598,0.00163,0.057626,0.059256,3.880869,0.0282853523521961,0.1334966452107554,20.0,0,1.012127216206061,0.8770513855259618,1.016914457140337,0.21417665252209145,0.17291785384273428
