elapsed_runtime_s,Temperature TS inlet (Mean),Temperature TS outlet (Mean),Tank temperature (Mean),Bypass temperature (Mean),Pump outlet pressure (Mean),TS inlet pressure (Mean),TS outlet pressure (Mean),Differential pressure (Mean),Pump to inlet DP,Total system DP,Flow rate (Mean),Pressure_Ratio,Relative_Ratio_Dev,run_specific_time_s,label,rel_tot_dp_change,rel_ts_dp_change,rel_p_ts_dp_change,anomaly_score,smooth_score
1503.0,-0.889657,22.253611,-1.182411,22.43288,0.162433,0.097245,0.07151,0.0257349999999999,0.065188,0.0909229999999999,1.146281,0.3947751921336421,0.0365829127218734,0.0,0,1.0035097400805688,0.9766047473578352,1.015484313175686,0.2280103805530067,0.2280103805530067
1504.0,-0.906326,22.250723,-1.183198,22.441019,0.162984,0.098274,0.072408,0.025866,0.0647099999999999,0.0905759999999999,1.358447,0.3997156588524362,0.0245261012735898,1.0,0,0.9996799293637211,0.9815760013661498,1.008038134405083,0.24907637360924617,0.24907637360924617
1505.0,-0.90147,22.250592,-1.187004,22.440232,0.162433,0.098095,0.071369,0.026726,0.0643379999999999,0.0910639999999999,1.250006,0.4153934627519856,0.0137343174882564,2.0,0,1.0050659455879911,1.0142117147031515,1.0022432002990918,0.2505099028871977,0.2505099028871977
1506.0,-0.907508,22.244554,-1.188317,22.441544,0.160697,0.096379,0.070418,0.025961,0.064318,0.090279,1.16514,0.4036287877610039,0.0149764250772198,3.0,0,0.996401964571492,0.9851811092347721,1.001931644701997,0.2576675776607782,0.2576675776607782
1507.0,-0.886244,22.244554,-1.193436,22.442332,0.158942,0.095675,0.069305,0.0263699999999999,0.063267,0.089637,1.150995,0.4167983814882719,0.0171629086047853,4.0,0,0.9893162628993988,1.0007020473217842,0.9855593980745865,0.24781655501264505,0.24781655501264505
1508.0,-0.889526,22.247967,-1.196192,22.443907,0.161487,0.096594,0.070355,0.026239,0.0648929999999999,0.0911319999999999,1.014266,0.4043363022775603,0.0132497928360605,5.0,0,1.0058164560454714,0.9957307933134772,1.0108888681185142,0.23735605600063286,0.24193445177784448
1509.0,-0.885063,22.243767,-1.198292,22.442595,0.160421,0.0963,0.069851,0.026449,0.064121,0.09057,1.353732,0.4124793362652443,0.0066226263086699,6.0,0,0.9996137078527679,1.0036999791283265,0.9988628220705984,0.2618803261784871,0.2448051141571599
1510.0,-0.871413,22.247311,-1.199211,22.446139,0.161055,0.097208,0.06993,0.0272779999999999,0.063847,0.091125,0.957688,0.4272334293948126,0.0426288032710435,7.0,0,1.005739197616026,1.0351592888450374,0.9945945103903792,0.23373710974634387,0.24498413243735664
1511.0,-0.877582,22.242716,-1.197111,22.439969,0.161285,0.096426,0.069185,0.027241,0.064859,0.0921,1.146281,0.4199969164353992,0.024968675744468,8.0,0,1.016500193146074,1.0337551942014724,1.010359223603452,0.2014474144634693,0.2454992524484781
1512.0,-0.875613,22.240879,-1.207085,22.437081,0.159447,0.095864,0.069935,0.025929,0.063583,0.089512,1.306584,0.4077912682435834,0.004818226430783,9.0,0,0.9879366480878542,0.9839667571106046,0.990481976508708,0.25184282166663763,0.245827464465917
1513.0,-0.875613,22.24311,-1.203542,22.442595,0.158859,0.094641,0.069242,0.025399,0.064218,0.089617,1.103847,0.3955060028963392,0.034799427866749,10.0,0,0.9890955245295517,0.9638540500540802,1.0003738667165154,0.25671700434616107,0.24669720613766236
1514.0,-0.866031,22.239172,-1.208398,22.440232,0.160485,0.095801,0.069731,0.0260699999999999,0.0646839999999999,0.0907539999999999,1.033125,0.4030300687949292,0.0164375505326374,11.0,0,1.0016445008553605,0.9893174961577138,1.0076331121288578,0.25086655641121364,0.24939896626843963
1515.0,-0.8659,22.242323,-1.206692,22.444039,0.160265,0.095675,0.069689,0.0259859999999999,0.06459,0.0905759999999999,1.316014,0.4023161121518477,0.0181799042651575,12.0,0,0.9996799293637211,0.9861298218317742,1.0061688008225067,0.2556611029984119,0.24811246970213982
1516.0,-0.862487,22.23681,-1.21601,22.439182,0.160008,0.09579,0.069993,0.025797,0.064218,0.090015,1.221718,0.4017035456796274,0.0196748234449598,13.0,0,0.9934882180895098,0.9789575545984136,1.0003738667165154,0.26094969783516764,0.24558479317667664
1517.0,-0.859206,22.236416,-1.215879,22.44207,0.159181,0.095334,0.069557,0.025777,0.0638469999999999,0.089624,1.04727,0.4037244706177172,0.0147429187653894,14.0,0,0.9891727829589982,0.9781985845208089,0.9945945103903776,0.2565139717300985,0.2512603657297363
1518.0,-0.857762,22.226046,-1.222048,22.435637,0.160403,0.0964,0.070067,0.0263329999999999,0.0640029999999999,0.0903359999999999,1.169855,0.4114274107868258,0.0040554868312012,15.0,0,0.9970310689255553,0.9992979526782156,0.9970246440477286,0.26437365730840545,0.24973688742905803
1519.0,-0.856581,22.230378,-1.22546,22.442595,0.159861,0.096342,0.070361,0.0259809999999999,0.063519,0.0895,1.179284,0.4090207808564229,0.0018176998429,16.0,0,0.9878042050659459,0.9859400793123729,0.9894849985979999,0.24901536051548895,0.24965512329124243
1520.0,-0.8512,22.220402,-1.228479,22.433931,0.161257,0.096825,0.069321,0.027504,0.064432,0.091936,1.15571,0.426862011702078,0.0417223882813782,17.0,0,1.0146901385133276,1.0437356507219742,1.0037075116054461,0.20846034449171252,0.25057090264052817
1521.0,-0.854743,22.226177,-1.230842,22.439838,0.160201,0.095937,0.069626,0.026311,0.064264,0.090575,1.188714,0.4094141445576907,0.0008577273854918,18.0,0,0.9996688924452297,0.9984630855928542,1.001090444589837,0.258203139994066,0.2506110344942698
1522.0,-0.849362,22.230115,-1.231498,22.433274,0.160118,0.095113,0.069484,0.025629,0.065005,0.090634,1.004836,0.3942559148386302,0.0378501671720483,19.0,0,1.000320070636279,0.9725822059465341,1.012633579462255,0.23660803865985464,0.2509492770606911
1523.0,-0.848181,22.224471,-1.234385,22.432618,0.159603,0.09505,0.069683,0.025367,0.064553,0.08992,1.268866,0.3929578337515878,0.0410180296032464,20.0,0,0.9924397108327359,0.9626396979299127,1.0055924229678785,0.25589936296800503,0.25116361059273434
1524.0,-0.841356,22.226571,-1.235173,22.428811,0.160026,0.095943,0.069347,0.0265959999999999,0.064083,0.090679,1.075559,0.4150177891517382,0.012817516298796,21.0,0,1.0008167319684347,1.0092784091987173,0.9982708664361155,0.260024349904071,0.25056986520859387
1525.0,-0.837155,22.219221,-1.241079,22.428155,0.159842,0.095958,0.07014,0.025818,0.063884,0.089702,1.259436,0.4041324254519841,0.0137473378221033,22.0,0,0.9900336626014021,0.9797544731798985,0.9951708882450072,0.2560624215358283,0.25136222465592917
1526.0,-0.829805,22.218433,-1.238585,22.426185,0.159861,0.095691,0.069615,0.026076,0.06417,0.090246,1.080273,0.4063517788409094,0.0083311844765925,23.0,0,0.9960377462612443,0.9895451871809989,0.9996261332834845,0.2643321234993805,0.2565389683622494
1527.0,-0.821799,22.219877,-1.247904,22.426448,0.159861,0.095381,0.069573,0.0258079999999999,0.06448,0.090288,1.075559,0.4002419317318278,0.0232417746626987,24.0,0,0.9965012968379232,0.9793749881410924,1.004455245038477,0.25865730705053125,0.2566159177777741
1528.0,-0.823636,22.226965,-1.245804,22.429992,0.160458,0.095995,0.070067,0.0259279999999999,0.0644629999999999,0.0903909999999999,1.094418,0.4022089848597666,0.0184413398005238,25.0,0,0.9976380994426349,0.9839288086067205,1.0041904227809435,0.25843620346700075,0.2588986466647291
1529.0,-0.817467,22.220402,-1.243048,22.427892,0.160642,0.096211,0.070366,0.025845,0.064431,0.090276,1.113277,0.4011205612118203,0.0210975501235729,26.0,0,0.9963688538160149,0.9807790827846649,1.0036919338255912,0.25693895498884145,0.258424848978975
1530.0,-0.816548,22.23064,-1.250529,22.428286,0.159502,0.09546,0.069195,0.0262649999999999,0.064042,0.090307,1.28301,0.4101150789313429,0.0008528465464396,27.0,0,0.996710998289278,0.9967174544143595,0.9976321774620681,0.2602277815549153,0.25843128396135
1531.0,-0.814973,22.221846,-1.253679,22.427104,0.159585,0.095538,0.06962,0.0259179999999999,0.064047,0.089965,0.844533,0.4046652510617036,0.0124470198001709,28.0,0,0.992936372164892,0.9835493235679181,0.9977100663613423,0.25897263414931243,0.25739443394605077
1532.0,-0.817073,22.221452,-1.257223,22.426317,0.159006,0.095045,0.06899,0.026055,0.063961,0.090016,1.136851,0.4073512397986305,0.0058920804398578,29.0,0,0.9934992550080022,0.988748268599514,0.9963703772938282,0.25943532752940507,0.2554550182451737
1533.0,-0.806442,22.227621,-1.264573,22.429073,0.159539,0.094809,0.069038,0.025771,0.0647299999999999,0.0905009999999999,1.188714,0.3981245461988847,0.0284090836614422,30.0,0,0.9988521604767941,0.9779708934975274,1.0083496900021793,0.2511613861104638,0.24878554525412308
1534.0,-0.798829,22.223158,-1.257879,22.431174,0.159521,0.095549,0.069773,0.0257759999999999,0.063972,0.089748,1.183999,0.4029199818673502,0.0167062088202628,31.0,0,0.9905413608520505,0.9781606360169248,0.996541732872231,0.26008869972782106,0.24493328962068142
