Time,Pressure before pump (Arith. Mean),Pressure after pump (Arith. Mean),Differential pressure (Arith. Mean),Flow rate (Arith. Mean),Tank temperature (Arith. Mean),Temperature TS inlet (Arith. Mean),Temperature TS outlet (Arith. Mean),Bypass temperature (Arith. Mean),reading_interval_s,elapsed_runtime_s,elapsed_runtime_m
2021-09-01 10:59:21.171,0.138025,0.00027,0.012027,401.648971,-1.481301,-1.159118,-0.732404,22.072086,1.501,3052.824,50.8804
2021-09-01 10:59:22.670,0.138058,0.000206,0.012667,397.179186,-1.47545,-1.139775,-0.723658,22.074648,1.499,3054.323,50.90538333333333
2021-09-01 10:59:24.169,0.139616,0.000178,0.013188,400.55095,-1.496726,-1.138374,-0.711486,22.079202,1.499,3055.822,50.93036666666667
2021-09-01 10:59:25.670,0.139463,0.000284,0.013233,403.609025,-1.502549,-1.13647,-0.701184,22.079958,1.501,3057.323,50.95538333333333
2021-09-01 10:59:27.169,0.139763,0.000413,0.013059,403.325107,-1.457588,-1.13312,-0.689945,22.076837,1.499,3058.822,50.98036666666667
2021-09-01 10:59:28.670,0.139144,0.000242,0.012829,404.083332,-1.514878,-1.134109,-0.67801,22.071912,1.501,3060.323,51.005383333333334
2021-09-01 10:59:30.169,0.139693,0.00028,0.012869,402.802987,-1.518003,-1.132683,-0.670593,22.072371,1.499,3061.822,51.030366666666666
2021-09-01 10:59:31.670,0.13912,0.000403,0.012859,404.918868,-1.516452,-1.124053,-0.65676,22.074535,1.501,3063.323,51.05538333333333
2021-09-01 10:59:33.169,0.14072,0.000388,0.013231,405.561417,-1.533501,-1.12918,-0.65343,22.070445,1.499,3064.822,51.08036666666667
2021-09-01 10:59:34.670,0.141369,0.000298,0.013576,409.002313,-1.513129,-1.115746,-0.643993,22.069638,1.501,3066.323,51.10538333333333
2021-09-01 10:59:36.169,0.14031,0.000171,0.013175,408.096531,-1.496551,-1.127166,-0.635829,22.071671,1.499,3067.822,51.13036666666667
2021-09-01 10:59:37.669,0.139946,0.000583,0.012619,406.197034,-1.538971,-1.117733,-0.629982,22.074504,1.5,3069.322,51.155366666666666
2021-09-01 10:59:39.169,0.139848,0.000443,0.012631,401.972566,-1.540895,-1.116683,-0.623156,22.077392,1.5,3070.822,51.18036666666667
2021-09-01 10:59:40.669,0.140075,0.000373,0.012981,402.264884,-1.535121,-1.111433,-0.611342,22.071616,1.5,3072.322,51.20536666666667
2021-09-01 10:59:42.169,0.139525,0.00018,0.012411,400.517262,-1.543258,-1.10277,-0.607492,22.067765,1.5,3073.822,51.23036666666667
2021-09-01 10:59:43.669,0.13843,0.000257,0.01268,399.744033,-1.552358,-1.097608,-0.597516,22.066978,1.5,3075.322,51.25536666666667
2021-09-01 10:59:45.169,0.139795,0.00053,0.012717,399.159397,-1.504758,-1.10662,-0.591478,22.066715,1.5,3076.822,51.280366666666666
2021-09-01 10:59:46.669,0.139914,0.000425,0.012644,401.340782,-1.553058,-1.113008,-0.582027,22.069253,1.5,3078.322,51.30536666666667
2021-09-01 10:59:48.169,0.13996,0.000264,0.012521,401.494799,-1.541158,-1.096908,-0.576164,22.070566,1.5,3079.822,51.33036666666667
2021-09-01 10:59:49.669,0.140229,0.000275,0.012938,401.334495,-1.544133,-1.09962,-0.572839,22.062952,1.5,3081.322,51.35536666666667
2021-09-01 10:59:51.169,0.139095,0.000527,0.012858,402.610637,-1.551308,-1.103033,-0.560326,22.066103,1.5,3082.822,51.38036666666667
2021-09-01 10:59:52.669,0.1399,0.000324,0.012546,399.923196,-1.552008,-1.112746,-0.553675,22.066978,1.5,3084.322,51.405366666666666
2021-09-01 10:59:54.169,0.140128,0.00053,0.012974,400.454398,-1.549383,-1.091132,-0.541161,22.06724,1.5,3085.822,51.43036666666667
2021-09-01 10:59:55.669,0.140012,0.000471,0.012601,397.902115,-1.565045,-1.098658,-0.540899,22.067765,1.5,3087.322,51.45536666666667
2021-09-01 10:59:57.169,0.13989,0.000369,0.013152,399.200259,-1.565745,-1.09542,-0.537311,22.063127,1.5,3088.822,51.48036666666667
