Time,TS outlet pressure (Mean),Pump outlet pressure (Mean),Differential pressure (Mean),Flow rate (Mean),Tank temperature (Mean),Temperature TS inlet (Mean),Temperature TS outlet (Mean),Bypass temperature (Mean),reading_interval_s,elapsed_runtime_s,elapsed_runtime_m
2021-12-07 12:04:37.038,0.400296,0.591123,0.65319,1495.790021,-1.346669,-1.220418,-1.089265,24.796129,1.999,4958.195,82.63658333333333
2021-12-07 12:04:39.036,0.399853,0.590187,0.651893,1495.603673,-1.385237,-1.216281,-1.087923,24.795653,1.998,4960.193,82.66988333333333
2021-12-07 12:04:41.038,0.399037,0.589214,0.651437,1494.968036,-1.374916,-1.230775,-1.092376,24.795489,2.002,4962.195,82.70325
2021-12-07 12:04:43.039,0.399869,0.59028,0.652827,1495.490631,-1.357037,-1.23105,-1.08244,24.791863,2.001,4964.196,82.7366
2021-12-07 12:04:45.038,0.40016,0.591041,0.65353,1496.99937,-1.374165,-1.225274,-1.086771,24.797704,1.999,4966.195,82.76991666666666
2021-12-07 12:04:47.039,0.400651,0.591432,0.653805,1497.459063,-1.397397,-1.217793,-1.085262,24.789697,2.001,4968.196,82.80326666666666
2021-12-07 12:04:49.037,0.398607,0.588699,0.651295,1496.158218,-1.355939,-1.227449,-1.079579,24.800712,1.998,4970.194,82.83656666666667
2021-12-07 12:04:51.036,0.398477,0.588553,0.65053,1493.880524,-1.408225,-1.236562,-1.089659,24.791863,1.999,4972.193,82.86988333333333
2021-12-07 12:04:53.037,0.39764,0.587004,0.648858,1491.836655,-1.336431,-1.228949,-1.078042,24.791141,2.001,4974.194,82.90323333333335
2021-12-07 12:04:55.036,0.399286,0.589647,0.651766,1491.76829,-1.401465,-1.223568,-1.079289,24.793241,1.999,4976.193,82.93655
2021-12-07 12:04:57.038,0.398444,0.587278,0.648298,1493.976561,-1.366394,-1.238839,-1.077296,24.802506,2.002,4978.195,82.96991666666666
2021-12-07 12:04:59.036,0.398019,0.587993,0.650647,1491.268787,-1.376566,-1.218186,-1.069396,24.797755,1.998,4980.193,83.00321666666667
