Time,Pressure before pump (Arith. Mean),Pressure after pump (Arith. Mean),Differential pressure (Arith. Mean),Flow rate (Arith. Mean),Tank temperature (Arith. Mean),Temperature TS inlet (Arith. Mean),Temperature TS outlet (Arith. Mean),Bypass temperature (Arith. Mean),reading_interval_s,elapsed_runtime_s,elapsed_runtime_m
2021-12-07 11:08:37.747,0.406148,0.595998,0.660705,1500.361028,-1.294235,-1.152297,-1.121818,24.837283,1.001,1598.904,26.6484
2021-12-07 11:08:38.747,0.405738,0.596465,0.661109,1499.116319,-1.258929,-1.134053,-1.105804,24.844503,1.0,1599.904,26.665066666666668
2021-12-07 11:08:39.746,0.405381,0.595662,0.660365,1498.861719,-1.250398,-1.124865,-1.097797,24.835577,0.999,1600.903,26.681716666666667
2021-12-07 11:08:40.746,0.404783,0.594827,0.660797,1497.664158,-1.293447,-1.142715,-1.118405,24.834133,1.0,1601.903,26.698383333333332
2021-12-07 11:08:41.747,0.405759,0.596649,0.661587,1497.753739,-1.310772,-1.141009,-1.122868,24.831901,1.001,1602.904,26.715066666666665
2021-12-07 11:08:42.747,0.406363,0.596748,0.662055,1498.295942,-1.24961,-1.122502,-1.105673,24.831901,1.0,1603.904,26.731733333333334
2021-12-07 11:08:43.744,0.40547,0.59609,0.661561,1499.476493,-1.218275,-1.127675,-1.101489,24.826627,0.997,1604.901,26.748350000000002
2021-12-07 11:08:44.747,0.405064,0.595837,0.660706,1499.604426,-1.267803,-1.14013,-1.109832,24.832824,1.003,1605.904,26.765066666666666
2021-12-07 11:08:45.747,0.405686,0.596113,0.661146,1499.106889,-1.317466,-1.145997,-1.116699,24.835708,1.0,1606.904,26.78173333333333
2021-12-07 11:08:46.743,0.405378,0.595378,0.659664,1499.101568,-1.31277,-1.13582,-1.107337,24.827366,0.996,1607.9,26.798333333333336
2021-12-07 11:08:47.746,0.405618,0.596214,0.661778,1498.396344,-1.226714,-1.12037,-1.096091,24.830861,1.003,1608.903,26.81505
2021-12-07 11:08:48.747,0.406517,0.596292,0.661996,1498.208584,-1.241569,-1.124238,-1.101161,24.832209,1.001,1609.904,26.831733333333332
2021-12-07 11:08:49.747,0.404673,0.595378,0.661339,1498.451531,-1.301979,-1.130377,-1.11263,24.829801,1.0,1610.904,26.8484
2021-12-07 11:08:50.747,0.406169,0.596313,0.661265,1497.749024,-1.314185,-1.128146,-1.113155,24.83597,1.0,1611.904,26.865066666666667
2021-12-07 11:08:51.742,0.407328,0.597887,0.662459,1497.695646,-1.255052,-1.135425,-1.104042,24.832111,0.995,1612.899,26.881649999999997
2021-12-07 11:08:52.745,0.405064,0.594141,0.660789,1499.985183,-1.21546,-1.133325,-1.103551,24.836096,1.003,1613.902,26.898366666666668
2021-12-07 11:08:53.746,0.405654,0.596565,0.661688,1498.357234,-1.254073,-1.136678,-1.109086,24.839515,1.001,1614.903,26.91505
2021-12-07 11:08:54.746,0.405875,0.596591,0.661899,1499.007878,-1.288591,-1.130377,-1.106592,24.837414,1.0,1615.903,26.931716666666667
2021-12-07 11:08:55.746,0.405938,0.595788,0.660742,1498.979589,-1.253285,-1.130246,-1.107642,24.835708,1.0,1616.903,26.948383333333332
2021-12-07 11:08:56.745,0.405544,0.595362,0.661054,1497.442562,-1.256435,-1.123027,-1.099372,24.838465,0.999,1617.902,26.965033333333334
2021-12-07 11:08:57.746,0.40629,0.596843,0.663029,1498.187501,-1.283341,-1.126046,-1.106067,24.828225,1.001,1618.903,26.981716666666667
2021-12-07 11:08:58.746,0.40609,0.595672,0.661394,1499.083315,-1.254991,-1.115414,-1.091365,24.830982,1.0,1619.903,26.998383333333333
2021-12-07 11:08:59.746,0.405405,0.59519,0.660565,1497.07816,-1.262286,-1.129876,-1.088573,24.838111,1.0,1620.903,27.01505
2021-12-07 11:09:00.743,0.406168,0.596933,0.661869,1498.344169,-1.249781,-1.142014,-1.08915,24.842128,0.997,1621.9,27.03166666666667
2021-12-07 11:09:01.746,0.405053,0.594471,0.65892,1499.90057,-1.271074,-1.145495,-1.110356,24.832431,1.003,1622.903,27.048383333333334
2021-12-07 11:09:02.743,0.407292,0.598692,0.664095,1498.086168,-1.301343,-1.118328,-1.095432,24.833342,0.997,1623.9,27.065
2021-12-07 11:09:03.745,0.405587,0.596706,0.661549,1501.367191,-1.233388,-1.115005,-1.090071,24.83675,1.002,1624.902,27.0817
2021-12-07 11:09:04.745,0.405749,0.596937,0.661697,1499.974414,-1.224673,-1.117252,-1.092809,24.836102,1.0,1625.902,27.098366666666667
2021-12-07 11:09:05.746,0.404988,0.594895,0.661008,1498.616549,-1.275204,-1.125784,-1.09596,24.837808,1.001,1626.903,27.11505
2021-12-07 11:09:06.746,0.405749,0.59647,0.660742,1499.158752,-1.285572,-1.145997,-1.110267,24.834264,1.0,1627.903,27.131716666666666
2021-12-07 11:09:07.745,0.405591,0.595698,0.66019,1498.84286,-1.266016,-1.139959,-1.103835,24.842534,0.999,1628.902,27.148366666666668
2021-12-07 11:09:08.745,0.408038,0.597851,0.662193,1498.394953,-1.197242,-1.124077,-1.089003,24.846341,1.0,1629.902,27.165033333333334
2021-12-07 11:09:09.746,0.405775,0.597016,0.662846,1499.007878,-1.238191,-1.116727,-1.090447,24.848573,1.001,1630.903,27.181716666666667
2021-12-07 11:09:10.741,0.407254,0.596823,0.661947,1500.626029,-1.270665,-1.129207,-1.109107,24.845127,0.995,1631.898,27.1983
2021-12-07 11:09:11.744,0.405577,0.596858,0.661274,1500.375342,-1.275131,-1.132802,-1.108524,24.851671,1.003,1632.901,27.215016666666667
2021-12-07 11:09:12.746,0.405721,0.595994,0.662488,1499.043658,-1.258432,-1.114442,-1.093122,24.849679,1.002,1633.903,27.231716666666667
2021-12-07 11:09:13.746,0.405828,0.595767,0.662,1498.989019,-1.202492,-1.118433,-1.083884,24.851329,1.0,1634.903,27.248383333333333
2021-12-07 11:09:14.746,0.40431,0.594428,0.659602,1498.409097,-1.234779,-1.124996,-1.096353,24.858418,1.0,1635.903,27.26505
2021-12-07 11:09:15.745,0.40556,0.596076,0.660209,1497.928187,-1.26851,-1.138778,-1.106329,24.859862,0.999,1636.902,27.2817
2021-12-07 11:09:16.746,0.405208,0.59459,0.660126,1499.059741,-1.277829,-1.124209,-1.09596,24.859337,1.001,1637.903,27.298383333333334
2021-12-07 11:09:17.746,0.406001,0.597126,0.662809,1497.348265,-1.245935,-1.124734,-1.091103,24.853824,1.0,1638.903,27.31505
