Time,Temperature TS outlet (Mean),Temperature TS inlet (Mean),Bypass temperature (Mean),Tank temperature (Mean),TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Flow rate (Mean),reading_interval_s,elapsed_runtime_s,elapsed_runtime_m
2022-06-30 15:08:37.939,21.03078,-1.515871,23.02663,-2.124647,0.07412,0.077267,0.130673,1.27358,1.0,5615.0,93.58333333333333
2022-06-30 15:08:38.939,21.029861,-1.505108,23.02978,-2.125041,0.074745,0.077083,0.130121,1.598902,1.0,5616.0,93.6
2022-06-30 15:08:39.939,21.042724,-1.496577,23.027943,-2.121235,0.074262,0.07639,0.130691,1.301869,1.0,5617.0,93.61666666666666
2022-06-30 15:08:40.939,21.031567,-1.491327,23.026499,-2.119922,0.073401,0.075739,0.130167,1.278295,1.0,5618.0,93.63333333333334
2022-06-30 15:08:41.939,21.038393,-1.471376,23.030699,-2.12491,0.073705,0.076138,0.130241,1.146281,1.0,5619.0,93.65
2022-06-30 15:08:42.939,21.025135,-1.468882,23.028599,-2.125041,0.073238,0.076406,0.13002,1.349017,1.0,5620.0,93.66666666666667
2022-06-30 15:08:43.939,21.029861,-1.452344,23.022298,-2.126616,0.073448,0.076185,0.129386,1.339588,1.0,5621.0,93.68333333333334
2022-06-30 15:08:44.939,21.038393,-1.441713,23.032012,-2.126879,0.074566,0.077041,0.129386,1.334873,1.0,5622.0,93.7
2022-06-30 15:08:45.939,21.033274,-1.435937,23.027943,-2.12386,0.074125,0.076805,0.129827,2.042094,1.0,5623.0,93.71666666666667
2022-06-30 15:08:46.939,21.020016,-1.420187,23.029912,-2.129372,0.074949,0.076306,0.130222,1.523465,1.0,5624.0,93.73333333333333
2022-06-30 15:08:47.939,21.023298,-1.413362,23.031749,-2.133704,0.074157,0.076506,0.129818,1.297155,1.0,5625.0,93.75
2022-06-30 15:08:48.939,21.019622,-1.399186,23.031093,-2.127535,0.073768,0.076359,0.129671,1.349017,1.0,5626.0,93.76666666666667
2022-06-30 15:08:49.939,21.020541,-1.388555,23.031881,-2.120447,0.073863,0.077178,0.129258,1.415025,1.0,5627.0,93.78333333333333
2022-06-30 15:08:50.939,21.033274,-1.381992,23.031487,-2.130685,0.073647,0.076401,0.129249,1.424454,1.0,5628.0,93.8
2022-06-30 15:08:51.939,21.023954,-1.375167,23.034769,-2.131079,0.074776,0.0766,0.128872,1.28301,1.0,5629.0,93.81666666666666
2022-06-30 15:08:52.939,21.01004,-1.37241,23.029255,-2.132522,0.07433,0.077278,0.129148,1.787495,1.0,5630.0,93.83333333333333
2022-06-30 15:08:53.939,21.032749,-1.355741,23.035556,-2.130029,0.07422,0.077041,0.129405,1.433884,1.0,5631.0,93.85
2022-06-30 15:08:54.939,21.026185,-1.341697,23.034769,-2.125041,0.073485,0.076012,0.129001,1.499891,1.0,5632.0,93.86666666666666
2022-06-30 15:08:55.939,21.016997,-1.330409,23.034112,-2.137247,0.074267,0.076926,0.12889,1.726202,1.0,5633.0,93.88333333333334
2022-06-30 15:08:56.939,21.034717,-1.323715,23.034375,-2.130422,0.073338,0.075708,0.129065,1.396165,1.0,5634.0,93.9
2022-06-30 15:08:57.939,21.016866,-1.315709,23.034244,-2.128454,0.074414,0.076705,0.128725,1.627191,1.0,5635.0,93.91666666666667
2022-06-30 15:08:58.939,21.022116,-1.309015,23.02978,-2.130685,0.073852,0.075949,0.128679,1.457458,1.0,5636.0,93.93333333333334
2022-06-30 15:08:59.939,21.029205,-1.299433,23.031224,-2.130554,0.073773,0.07596,0.128955,1.40088,1.0,5637.0,93.95
2022-06-30 15:09:00.939,21.028417,-1.285651,23.030437,-2.129897,0.074661,0.076511,0.128642,1.641336,1.0,5638.0,93.96666666666667
2022-06-30 15:09:01.939,21.021329,-1.280007,23.028205,-2.133704,0.073684,0.076684,0.128936,1.740347,1.0,5639.0,93.98333333333333
2022-06-30 15:09:02.939,21.036949,-1.266619,23.030437,-2.12806,0.073311,0.076416,0.128697,1.353732,1.0,5640.0,94.0
2022-06-30 15:09:03.939,21.02566,-1.256119,23.027943,-2.127666,0.073107,0.075765,0.128725,1.396165,1.0,5641.0,94.01666666666667
2022-06-30 15:09:04.939,21.031042,-1.257169,23.024398,-2.123204,0.074167,0.075865,0.128964,1.311299,1.0,5642.0,94.03333333333333
2022-06-30 15:09:05.939,21.033405,-1.2426,23.024136,-2.129897,0.073212,0.076674,0.129065,1.466888,1.0,5643.0,94.05
2022-06-30 15:09:06.939,21.023298,-1.235775,23.025054,-2.128716,0.073432,0.075702,0.129386,1.565899,1.0,5644.0,94.06666666666666
2022-06-30 15:09:07.939,21.021066,-1.228556,23.024923,-2.123729,0.073406,0.076406,0.129074,1.188714,1.0,5645.0,94.08333333333333
2022-06-30 15:09:08.939,21.026054,-1.215562,23.020066,-2.128585,0.073695,0.076275,0.128881,1.405595,1.0,5646.0,94.1
2022-06-30 15:09:09.939,21.03078,-1.211755,23.021641,-2.122679,0.073033,0.075015,0.128909,1.617761,1.0,5647.0,94.11666666666666
2022-06-30 15:09:10.939,21.023035,-1.197842,23.020066,-2.123729,0.07338,0.07618,0.128881,1.556469,1.0,5648.0,94.13333333333334
2022-06-30 15:09:11.939,21.031042,-1.190754,23.027024,-2.118872,0.073437,0.076112,0.128679,1.424454,1.0,5649.0,94.15
2022-06-30 15:09:12.939,21.029073,-1.180385,23.021773,-2.11336,0.073595,0.075839,0.128991,1.53761,1.0,5650.0,94.16666666666667
2022-06-30 15:09:13.939,21.034717,-1.178942,23.021641,-2.11756,0.073469,0.076007,0.129129,1.490462,1.0,5651.0,94.18333333333334
2022-06-30 15:09:14.939,21.027761,-1.172248,23.023742,-2.11861,0.073537,0.075949,0.128734,1.509321,1.0,5652.0,94.2
2022-06-30 15:09:15.939,21.028286,-1.161091,23.027811,-2.113622,0.073789,0.076327,0.128872,1.150995,1.0,5653.0,94.21666666666667
2022-06-30 15:09:16.939,21.030386,-1.153216,23.029124,-2.115591,0.074083,0.076569,0.129001,1.405595,1.0,5654.0,94.23333333333333
2022-06-30 15:09:17.939,21.033799,-1.147966,23.019541,-2.113885,0.074739,0.077194,0.129184,1.481032,1.0,5655.0,94.25
2022-06-30 15:09:18.939,21.027761,-1.13694,23.017834,-2.115854,0.074351,0.076978,0.129203,1.405595,1.0,5656.0,94.26666666666667
2022-06-30 15:09:19.939,21.023823,-1.128671,23.013371,-2.09866,0.075254,0.077425,0.129469,1.367877,1.0,5657.0,94.28333333333333
2022-06-30 15:09:20.939,21.044168,-1.123158,23.023217,-2.106666,0.074839,0.077173,0.129322,1.136851,1.0,5658.0,94.3
2022-06-30 15:09:21.939,21.031567,-1.120271,23.01836,-2.112966,0.073852,0.076332,0.129212,1.575328,1.0,5659.0,94.31666666666666
2022-06-30 15:09:22.939,21.031961,-1.107539,23.017178,-2.107979,0.074398,0.07617,0.129414,1.499891,1.0,5660.0,94.33333333333333
2022-06-30 15:09:23.939,21.021985,-1.102027,23.013634,-2.09866,0.073894,0.075944,0.129212,1.622476,1.0,5661.0,94.35
2022-06-30 15:09:24.939,21.036161,-1.095989,23.019804,-2.103123,0.073101,0.07533,0.129285,1.363162,1.0,5662.0,94.36666666666666
2022-06-30 15:09:25.939,21.036818,-1.088245,23.014553,-2.094066,0.073831,0.07659,0.129386,1.853502,1.0,5663.0,94.38333333333334
2022-06-30 15:09:26.939,21.03288,-1.08352,23.008908,-2.102598,0.074052,0.076133,0.129157,1.448028,1.0,5664.0,94.4
2022-06-30 15:09:27.939,21.030648,-1.069607,23.009302,-2.096035,0.074052,0.075162,0.128661,1.674339,1.0,5665.0,94.41666666666667
2022-06-30 15:09:28.939,21.036161,-1.073807,23.013502,-2.095904,0.073847,0.076164,0.1289,1.660195,1.0,5666.0,94.43333333333334
2022-06-30 15:09:29.939,21.037343,-1.0616,23.011796,-2.08816,0.074372,0.076448,0.128725,1.278295,1.0,5667.0,94.45
2022-06-30 15:09:30.939,21.036424,-1.058975,23.012452,-2.090654,0.073086,0.075755,0.128808,1.268866,1.0,5668.0,94.46666666666667
2022-06-30 15:09:31.939,21.028548,-1.049394,23.014553,-2.08396,0.074141,0.076185,0.12889,1.52818,1.0,5669.0,94.48333333333333
2022-06-30 15:09:32.939,21.031173,-1.043093,23.015865,-2.080154,0.074514,0.076548,0.12912,1.349017,1.0,5670.0,94.5
2022-06-30 15:09:33.939,21.032355,-1.037187,23.014684,-2.077791,0.073616,0.07597,0.129065,1.160425,1.0,5671.0,94.51666666666667
2022-06-30 15:09:34.939,21.037211,-1.029705,23.014159,-2.084223,0.073731,0.075639,0.128688,1.490462,1.0,5672.0,94.53333333333333
2022-06-30 15:09:35.939,21.048237,-1.022749,23.018491,-2.072673,0.074262,0.075692,0.129092,1.240577,1.0,5673.0,94.55
2022-06-30 15:09:36.939,21.031698,-1.019074,23.011796,-2.071098,0.074062,0.075918,0.129184,1.349017,1.0,5674.0,94.56666666666666
2022-06-30 15:09:37.939,21.038524,-1.014349,23.011402,-2.077135,0.073474,0.075912,0.129157,1.377306,1.0,5675.0,94.58333333333333
2022-06-30 15:09:38.939,21.034849,-1.007786,23.01219,-2.080023,0.073926,0.076149,0.129239,1.594187,1.0,5676.0,94.6
2022-06-30 15:09:39.939,21.031436,-1.00188,23.00707,-2.069785,0.074067,0.076521,0.129377,1.490462,1.0,5677.0,94.61666666666666
2022-06-30 15:09:40.939,21.031305,-0.998861,23.011271,-2.073067,0.074634,0.076527,0.129506,1.433884,1.0,5678.0,94.63333333333334
2022-06-30 15:09:41.939,21.051781,-0.985735,23.008777,-2.069654,0.075065,0.076941,0.129432,1.547039,1.0,5679.0,94.65
2022-06-30 15:09:42.939,21.036161,-0.984029,23.010746,-2.066767,0.07496,0.077598,0.129892,1.542325,1.0,5680.0,94.66666666666667
2022-06-30 15:09:43.939,21.04023,-0.978123,23.007201,-2.063223,0.074445,0.0766,0.129901,1.259436,1.0,5681.0,94.68333333333334
2022-06-30 15:09:44.939,21.03813,-0.979698,23.012058,-2.045635,0.072755,0.075109,0.129846,1.207573,1.0,5682.0,94.7
2022-06-30 15:09:45.939,21.035768,-0.972872,23.007858,-2.055085,0.074356,0.075676,0.129524,1.570613,1.0,5683.0,94.71666666666667
2022-06-30 15:09:46.939,21.032355,-0.965653,23.00602,-2.059679,0.073595,0.075755,0.129396,1.41031,1.0,5684.0,94.73333333333333
2022-06-30 15:09:47.939,21.035899,-0.957516,23.007595,-2.049179,0.073322,0.07587,0.129423,1.509321,1.0,5685.0,94.75
2022-06-30 15:09:48.939,21.037736,-0.952134,23.008908,-2.051279,0.074409,0.07649,0.129166,1.41974,1.0,5686.0,94.76666666666667
