Time,Temperature TS outlet (Mean),Temperature TS inlet (Mean),Bypass temperature (Mean),Tank temperature (Mean),TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Flow rate (Mean),reading_interval_s,elapsed_runtime_s,elapsed_runtime_m
2022-03-11 14:28:40,-1.028229,-1.0679,24.838465,-1.454359,0.093783,0.108265,0.146116,401.772973,1.0,1700.0,28.333333333333332
2022-03-11 14:28:41,-1.034661,-1.061731,24.836364,-1.45974,0.092953,0.107945,0.145868,399.641879,1.0,1701.0,28.35
2022-03-11 14:28:42,-1.011034,-1.032331,24.836627,-1.428634,0.093278,0.108061,0.146162,399.033669,1.0,1702.0,28.366666666666667
2022-03-11 14:28:43,-1.006964,-1.023011,24.842271,-1.425484,0.093142,0.10846,0.146594,400.344386,1.0,1703.0,28.383333333333333
2022-03-11 14:28:44,-1.013002,-1.057794,24.839646,-1.451602,0.092827,0.107189,0.146052,399.146824,1.0,1704.0,28.4
2022-03-11 14:28:45,-1.021272,-1.079713,24.833739,-1.484021,0.09321,0.107289,0.145979,398.317018,1.0,1705.0,28.416666666666668
2022-03-11 14:28:46,-1.01274,-1.036531,24.832951,-1.460659,0.094665,0.109016,0.146943,396.41695,1.0,1706.0,28.433333333333334
2022-03-11 14:28:47,-0.988982,-0.996104,24.834658,-1.422728,0.093688,0.107861,0.146236,400.127505,1.0,1707.0,28.45
2022-03-11 14:28:48,-0.990557,-1.045456,24.834133,-1.474833,0.092701,0.107494,0.146245,398.38774,1.0,1708.0,28.466666666666665
2022-03-11 14:28:49,-1.006308,-1.077482,24.827306,-1.496752,0.093011,0.10752,0.145657,397.949263,1.0,1709.0,28.483333333333334
2022-03-11 14:28:50,-1.005258,-1.050575,24.835051,-1.487565,0.094817,0.10952,0.147127,397.190179,1.0,1710.0,28.5
2022-03-11 14:28:51,-0.977562,-0.993348,24.830719,-1.430209,0.093273,0.108276,0.146273,400.037923,1.0,1711.0,28.516666666666666
2022-03-11 14:28:52,-0.973493,-1.029049,24.825206,-1.460659,0.094008,0.109043,0.147752,398.392455,1.0,1712.0,28.533333333333335
2022-03-11 14:28:53,-0.985438,-1.059106,24.825469,-1.50384,0.093793,0.10825,0.147136,400.938452,1.0,1713.0,28.55
2022-03-11 14:28:54,-0.980056,-1.045587,24.820218,-1.49124,0.094481,0.108896,0.146907,401.061037,1.0,1714.0,28.566666666666666
2022-03-11 14:28:55,-0.957479,-1.005292,24.82258,-1.472208,0.093147,0.108255,0.147054,398.63291,1.0,1715.0,28.583333333333332
2022-03-11 14:28:56,-0.966667,-1.045193,24.820611,-1.509483,0.093651,0.108045,0.146769,399.057243,1.0,1716.0,28.6
2022-03-11 14:28:57,-0.972836,-1.053594,24.815623,-1.514339,0.093341,0.108318,0.14698,398.185003,1.0,1717.0,28.616666666666667
2022-03-11 14:28:58,-0.965486,-1.018811,24.815886,-1.487696,0.09372,0.108475,0.147495,398.807358,1.0,1718.0,28.633333333333333
2022-03-11 14:28:59,-0.945009,-1.000698,24.814835,-1.462627,0.093305,0.10773,0.146282,397.840822,1.0,1719.0,28.65
2022-03-11 14:29:00,-0.949603,-1.047162,24.809191,-1.50069,0.093404,0.107719,0.147246,397.147746,1.0,1720.0,28.666666666666668
2022-03-11 14:29:01,-0.964042,-1.078007,24.807615,-1.545314,0.09248,0.106837,0.146135,399.137395,1.0,1721.0,28.683333333333334
2022-03-11 14:29:02,-0.95971,-1.048869,24.807878,-1.524183,0.093415,0.107583,0.1463,395.742733,1.0,1722.0,28.7
2022-03-11 14:29:03,-0.925189,-1.00293,24.809453,-1.472077,0.093935,0.108948,0.14743,396.468813,1.0,1723.0,28.716666666666665
2022-03-11 14:29:04,-0.92427,-1.019336,24.80604,-1.482446,0.092932,0.107987,0.146769,398.019985,1.0,1724.0,28.733333333333334
2022-03-11 14:29:05,-0.945403,-1.067375,24.811291,-1.537177,0.093615,0.108428,0.146952,397.190179,1.0,1725.0,28.75
2022-03-11 14:29:06,-0.947897,-1.077351,24.803152,-1.55647,0.093714,0.10899,0.147191,398.637625,1.0,1726.0,28.766666666666666
2022-03-11 14:29:07,-0.931489,-1.034693,24.795932,-1.514864,0.093488,0.10804,0.146061,399.274124,1.0,1727.0,28.783333333333335
2022-03-11 14:29:08,-0.913244,-1.013824,24.7916,-1.500296,0.093746,0.108701,0.147393,396.115203,1.0,1728.0,28.8
2022-03-11 14:29:09,-0.9118,-1.026949,24.792256,-1.511058,0.093814,0.108596,0.146824,398.713062,1.0,1729.0,28.816666666666666
2022-03-11 14:29:10,-0.918757,-1.068819,24.794751,-1.534683,0.09332,0.108407,0.146686,398.703632,1.0,1730.0,28.833333333333332
2022-03-11 14:29:11,-0.919676,-1.064882,24.789762,-1.542558,0.09268,0.107709,0.14641,398.368881,1.0,1731.0,28.85
2022-03-11 14:29:12,-0.917444,-1.048606,24.785299,-1.534946,0.093945,0.108218,0.14608,396.398091,1.0,1732.0,28.866666666666667
2022-03-11 14:29:13,-0.904449,-1.028393,24.7916,-1.528777,0.094019,0.109043,0.147348,396.044481,1.0,1733.0,28.883333333333333
2022-03-11 14:29:14,-0.891586,-1.018286,24.787399,-1.501346,0.094381,0.108801,0.147981,398.727206,1.0,1734.0,28.9
2022-03-11 14:29:15,-0.890142,-1.053856,24.78228,-1.533108,0.093583,0.108302,0.14709,399.830472,1.0,1735.0,28.916666666666668
2022-03-11 14:29:16,-0.90248,-1.079582,24.781098,-1.558702,0.093536,0.108496,0.147283,397.774815,1.0,1736.0,28.933333333333334
2022-03-11 14:29:17,-0.905893,-1.079188,24.77926,-1.569989,0.092165,0.107215,0.145666,399.203402,1.0,1737.0,28.95
2022-03-11 14:29:18,-0.891323,-1.039812,24.779392,-1.539933,0.092538,0.107257,0.145584,395.766307,1.0,1738.0,28.966666666666665
2022-03-11 14:29:19,-0.874128,-1.022093,24.777816,-1.511846,0.093263,0.108622,0.146502,394.399012,1.0,1739.0,28.983333333333334
2022-03-11 14:29:20,-0.880953,-1.038499,24.775585,-1.534814,0.092811,0.107772,0.146071,396.29908,1.0,1740.0,29.0
2022-03-11 14:29:21,-0.884366,-1.070657,24.770728,-1.557258,0.094371,0.108617,0.14811,397.369342,1.0,1741.0,29.016666666666666
2022-03-11 14:29:22,-0.892242,-1.080895,24.769677,-1.570383,0.09351,0.108166,0.146089,400.23123,1.0,1742.0,29.033333333333335
2022-03-11 14:29:23,-0.875834,-1.049262,24.767971,-1.546627,0.092916,0.107651,0.146052,397.685234,1.0,1743.0,29.05
2022-03-11 14:29:24,-0.857851,-1.041781,24.766133,-1.522346,0.094098,0.108418,0.147311,396.044481,1.0,1744.0,29.066666666666666
2022-03-11 14:29:25,-0.857458,-1.069475,24.762982,-1.522608,0.092843,0.107441,0.146282,396.945009,1.0,1745.0,29.083333333333332
2022-03-11 14:29:26,-0.862577,-1.092445,24.756681,-1.567233,0.09436,0.109132,0.147072,396.167066,1.0,1746.0,29.1
2022-03-11 14:29:27,-0.86494,-1.079845,24.752874,-1.579308,0.09373,0.108701,0.147145,398.166144,1.0,1747.0,29.116666666666667
2022-03-11 14:29:28,-0.867827,-1.069213,24.754187,-1.566314,0.093011,0.108292,0.146548,399.283554,1.0,1748.0,29.133333333333333
2022-03-11 14:29:29,-0.847219,-1.035481,24.748805,-1.548202,0.093026,0.107373,0.146888,398.477322,1.0,1749.0,29.15
2022-03-11 14:29:30,-0.845644,-1.037843,24.743029,-1.560539,0.092759,0.107525,0.146796,397.317479,1.0,1750.0,29.166666666666668
2022-03-11 14:29:31,-0.838687,-1.0616,24.740928,-1.576551,0.093042,0.10804,0.146144,396.511247,1.0,1751.0,29.183333333333334
2022-03-11 14:29:32,-0.85352,-1.102814,24.733708,-1.600308,0.093809,0.108596,0.146815,396.039766,1.0,1752.0,29.2
2022-03-11 14:29:33,-0.850107,-1.079845,24.735021,-1.575764,0.093793,0.108659,0.147008,397.232612,1.0,1753.0,29.216666666666665
2022-03-11 14:29:34,-0.82858,-1.041387,24.739878,-1.550433,0.094071,0.10805,0.147201,397.246757,1.0,1754.0,29.233333333333334
2022-03-11 14:29:35,-0.825167,-1.051756,24.735678,-1.565133,0.093168,0.108223,0.146842,397.930404,1.0,1755.0,29.25
2022-03-11 14:29:36,-0.837375,-1.087589,24.734496,-1.594401,0.09332,0.108754,0.147384,400.372675,1.0,1756.0,29.266666666666666
2022-03-11 14:29:37,-0.846825,-1.076169,24.724125,-1.592301,0.093667,0.10857,0.146815,400.801722,1.0,1757.0,29.283333333333335
2022-03-11 14:29:38,-0.82648,-1.060288,24.7236,-1.563952,0.094166,0.108859,0.147228,396.959153,1.0,1758.0,29.3
2022-03-11 14:29:39,-0.81506,-1.059894,24.726226,-1.577601,0.094035,0.108833,0.147485,398.232152,1.0,1759.0,29.316666666666666
2022-03-11 14:29:40,-0.82228,-1.085095,24.723863,-1.591251,0.093116,0.108166,0.146374,400.735715,1.0,1760.0,29.333333333333332
2022-03-11 14:29:41,-0.817423,-1.069082,24.719006,-1.57432,0.094155,0.109048,0.147789,398.571618,1.0,1761.0,29.35
2022-03-11 14:29:42,-0.807841,-1.08037,24.71428,-1.57222,0.093378,0.107635,0.14596,398.378311,1.0,1762.0,29.366666666666667
2022-03-11 14:29:43,-0.812435,-1.089295,24.719925,-1.613695,0.093268,0.107315,0.14676,395.167526,1.0,1763.0,29.383333333333333
2022-03-11 14:29:44,-0.815716,-1.08982,24.716905,-1.618814,0.094255,0.108791,0.147844,396.077484,1.0,1764.0,29.4
2022-03-11 14:29:45,-0.811516,-1.079713,24.718612,-1.577601,0.094192,0.108733,0.147302,400.646133,1.0,1765.0,29.416666666666668
2022-03-11 14:29:46,-0.799046,-1.068294,24.711917,-1.577995,0.093741,0.108596,0.147715,401.659817,1.0,1766.0,29.433333333333334
2022-03-11 14:29:47,-0.79839,-1.089426,24.709029,-1.60162,0.093273,0.107677,0.146888,401.268488,1.0,1767.0,29.45
2022-03-11 14:29:48,-0.812697,-1.09612,24.709685,-1.623932,0.093221,0.107672,0.146438,398.925228,1.0,1768.0,29.466666666666665
2022-03-11 14:29:49,-0.804428,-1.079451,24.709554,-1.577208,0.09331,0.108208,0.146686,397.176035,1.0,1769.0,29.483333333333334
2022-03-11 14:29:50,-0.789595,-1.062388,24.708766,-1.581145,0.092701,0.107063,0.146254,397.887971,1.0,1770.0,29.5
2022-03-11 14:29:51,-0.79839,-1.085751,24.707979,-1.587445,0.092659,0.106843,0.146493,395.285396,1.0,1771.0,29.516666666666666
2022-03-11 14:29:52,-0.802853,-1.114102,24.702465,-1.61947,0.094082,0.109058,0.147862,395.695585,1.0,1772.0,29.533333333333335
2022-03-11 14:29:53,-0.797471,-1.09402,24.705222,-1.614745,0.093126,0.107609,0.146098,400.929022,1.0,1773.0,29.55
2022-03-11 14:29:54,-0.784476,-1.087589,24.703647,-1.583114,0.093872,0.108339,0.146879,398.463177,1.0,1774.0,29.566666666666666
2022-03-11 14:29:55,-0.78487,-1.099139,24.700496,-1.601358,0.093972,0.108822,0.147733,397.963408,1.0,1775.0,29.583333333333332
2022-03-11 14:29:56,-0.791958,-1.117121,24.696689,-1.625114,0.0929,0.107929,0.145933,400.655563,1.0,1776.0,29.6
2022-03-11 14:29:57,-0.78277,-1.088245,24.691045,-1.600045,0.092921,0.107651,0.146613,396.874287,1.0,1777.0,29.616666666666667
2022-03-11 14:29:58,-0.775157,-1.077745,24.694458,-1.599126,0.093121,0.107415,0.146962,396.520676,1.0,1778.0,29.633333333333333
2022-03-11 14:29:59,-0.775944,-1.122371,24.691832,-1.624326,0.092848,0.106753,0.145749,396.497102,1.0,1779.0,29.65
2022-03-11 14:30:00,-0.799571,-1.131296,24.68855,-1.632464,0.093158,0.108397,0.146861,396.487672,1.0,1780.0,29.666666666666668
2022-03-11 14:30:01,-0.771744,-1.094939,24.693276,-1.592826,0.093804,0.10889,0.147274,398.274585,1.0,1781.0,29.683333333333334
2022-03-11 14:30:02,-0.772794,-1.076694,24.688157,-1.589414,0.093452,0.108218,0.147265,398.826217,1.0,1782.0,29.7
2022-03-11 14:30:03,-0.767281,-1.106883,24.686056,-1.598208,0.093646,0.107908,0.146622,398.830932,1.0,1783.0,29.716666666666665
2022-03-11 14:30:04,-0.7745,-1.12329,24.683037,-1.636007,0.093488,0.107672,0.146622,397.40706,1.0,1784.0,29.733333333333334
2022-03-11 14:30:05,-0.784345,-1.126571,24.676736,-1.634039,0.093594,0.107341,0.145997,397.039305,1.0,1785.0,29.75
2022-03-11 14:30:06,-0.770956,-1.110689,24.679099,-1.628132,0.093903,0.108391,0.146594,395.874747,1.0,1786.0,29.766666666666666
2022-03-11 14:30:07,-0.755993,-1.098483,24.672273,-1.613957,0.092785,0.108097,0.146429,397.374056,1.0,1787.0,29.783333333333335
2022-03-11 14:30:08,-0.757174,-1.105964,24.672404,-1.613695,0.093515,0.107693,0.147329,396.67155,1.0,1788.0,29.8
2022-03-11 14:30:09,-0.754155,-1.123946,24.663346,-1.612907,0.093798,0.108848,0.147136,396.431095,1.0,1789.0,29.816666666666666
2022-03-11 14:30:10,-0.764656,-1.13064,24.661639,-1.651101,0.093504,0.107509,0.146907,398.26987,1.0,1790.0,29.833333333333332
2022-03-11 14:30:11,-0.768331,-1.123552,24.66072,-1.637714,0.092958,0.108076,0.146539,398.911084,1.0,1791.0,29.85
2022-03-11 14:30:12,-0.751005,-1.104127,24.656257,-1.634564,0.093888,0.108869,0.147191,398.0247,1.0,1792.0,29.866666666666667
2022-03-11 14:30:13,-0.748379,-1.095201,24.655601,-1.605295,0.093609,0.107751,0.146686,397.689949,1.0,1793.0,29.883333333333333
2022-03-11 14:30:14,-0.748773,-1.115414,24.654944,-1.640995,0.092979,0.107924,0.146438,397.699378,1.0,1794.0,29.9
2022-03-11 14:30:15,-0.757043,-1.14429,24.6514,-1.662651,0.093194,0.107567,0.146962,397.977552,1.0,1795.0,29.916666666666668
2022-03-11 14:30:16,-0.760455,-1.117646,24.651663,-1.638764,0.093814,0.108192,0.146319,396.685694,1.0,1796.0,29.933333333333334
2022-03-11 14:30:17,-0.747198,-1.114758,24.646149,-1.627214,0.093562,0.108502,0.147623,396.647976,1.0,1797.0,29.95
2022-03-11 14:30:18,-0.734728,-1.107802,24.650875,-1.617764,0.093452,0.108964,0.147164,399.689027,1.0,1798.0,29.966666666666665
