Time,Temperature TS outlet (Mean),Temperature TS inlet (Mean),Bypass temperature (Mean),Tank temperature (Mean),TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Flow rate (Mean),reading_interval_s,elapsed_runtime_s,elapsed_runtime_m
2022-07-07 15:32:12.389,20.936009,1.183373,22.052582,-1.660813,0.064296,0.067764,0.120585,0.938829,1.0,7708.0,128.46666666666667
2022-07-07 15:32:13.389,20.942309,1.167229,22.054026,-1.668557,0.065404,0.068047,0.120401,0.849248,1.0,7709.0,128.48333333333332
2022-07-07 15:32:14.389,20.931415,1.15476,22.0493,-1.665013,0.06511,0.068215,0.120732,1.042555,1.0,7710.0,128.5
2022-07-07 15:32:15.389,20.937322,1.131659,22.055732,-1.66777,0.064638,0.067501,0.119492,1.136851,1.0,7711.0,128.51666666666668
2022-07-07 15:32:16.389,20.934171,1.129953,22.059014,-1.670132,0.064632,0.067827,0.119694,1.41031,1.0,7712.0,128.53333333333333
2022-07-07 15:32:17.389,20.932202,1.113152,22.053894,-1.66987,0.064354,0.068047,0.119639,1.089703,1.0,7713.0,128.55
2022-07-07 15:32:18.389,20.931283,1.103833,22.05547,-1.674069,0.06437,0.068462,0.119666,1.212288,1.0,7714.0,128.56666666666666
2022-07-07 15:32:19.389,20.935484,1.09517,22.056126,-1.675907,0.064422,0.067984,0.119483,1.382021,1.0,7715.0,128.58333333333334
2022-07-07 15:32:20.389,20.93194,1.086901,22.061114,-1.678401,0.063929,0.06737,0.118398,0.943544,1.0,7716.0,128.6
2022-07-07 15:32:21.389,20.927346,1.084276,22.060195,-1.681551,0.06395,0.06705,0.119611,1.051984,1.0,7717.0,128.61666666666667
2022-07-07 15:32:22.389,20.936665,1.078632,22.056651,-1.685357,0.06385,0.067349,0.119069,0.830388,1.0,7718.0,128.63333333333333
2022-07-07 15:32:23.389,20.937059,1.075482,22.063083,-1.687063,0.063483,0.066945,0.11917,1.150995,1.0,7719.0,128.65
2022-07-07 15:32:24.389,20.930758,1.078239,22.06072,-1.689688,0.063572,0.066666,0.119115,1.018981,1.0,7720.0,128.66666666666666
2022-07-07 15:32:25.389,20.932334,1.076401,22.056651,-1.690082,0.064244,0.067517,0.118968,1.084988,1.0,7721.0,128.68333333333334
2022-07-07 15:32:26.389,20.924195,1.081126,22.052319,-1.691001,0.064296,0.067071,0.119363,0.952974,1.0,7722.0,128.7
2022-07-07 15:32:27.389,20.933909,1.085195,22.0514,-1.695201,0.063929,0.06726,0.119087,1.014266,1.0,7723.0,128.71666666666667
2022-07-07 15:32:28.389,20.921964,1.088083,22.047724,-1.692182,0.064176,0.067407,0.119896,1.070844,1.0,7724.0,128.73333333333332
2022-07-07 15:32:29.389,20.932727,1.084407,22.046674,-1.696776,0.063561,0.067244,0.119574,1.108562,1.0,7725.0,128.75
2022-07-07 15:32:30.389,20.931415,1.090314,22.046543,-1.703994,0.063598,0.067065,0.120172,0.632367,1.0,7726.0,128.76666666666668
2022-07-07 15:32:31.389,20.923145,1.096877,22.046543,-1.702551,0.063351,0.067312,0.119115,1.231147,1.0,7727.0,128.78333333333333
2022-07-07 15:32:32.389,20.932465,1.101208,22.041686,-1.703076,0.063866,0.067275,0.119804,1.014266,1.0,7728.0,128.8
2022-07-07 15:32:33.389,20.926821,1.104752,22.039323,-1.706357,0.064086,0.06737,0.118922,0.839818,1.0,7729.0,128.81666666666666
2022-07-07 15:32:34.389,20.929052,1.104227,22.031053,-1.707932,0.063976,0.067186,0.118913,0.627652,1.0,7730.0,128.83333333333334
2022-07-07 15:32:35.389,20.921439,1.112365,22.024226,-1.713182,0.063472,0.067218,0.119234,0.962403,1.0,7731.0,128.85
2022-07-07 15:32:36.389,20.930365,1.121421,22.03184,-1.711344,0.063141,0.067438,0.118665,0.943544,1.0,7732.0,128.86666666666667
2022-07-07 15:32:37.389,20.93614,1.127328,22.030921,-1.711344,0.064218,0.067564,0.119887,0.844533,1.0,7733.0,128.88333333333333
2022-07-07 15:32:38.389,20.941128,1.131003,22.029215,-1.717775,0.064023,0.066756,0.120107,1.03784,1.0,7734.0,128.9
2022-07-07 15:32:39.389,20.93404,1.138222,22.024095,-1.720532,0.063819,0.067496,0.119345,0.849248,1.0,7735.0,128.91666666666666
2022-07-07 15:32:40.389,20.932727,1.142947,22.020945,-1.729457,0.063141,0.067165,0.11929,0.957688,1.0,7736.0,128.93333333333334
2022-07-07 15:32:41.389,20.92157,1.152397,22.01845,-1.722763,0.064118,0.067832,0.120116,1.018981,1.0,7737.0,128.95
2022-07-07 15:32:42.389,20.928133,1.151741,22.019238,-1.72355,0.063367,0.066908,0.11929,0.938829,1.0,7738.0,128.96666666666667
2022-07-07 15:32:43.389,20.934302,1.158435,22.0174,-1.730375,0.063231,0.066635,0.118996,1.004836,1.0,7739.0,128.98333333333332
2022-07-07 15:32:44.389,20.931415,1.164998,22.0132,-1.734182,0.064002,0.067801,0.119234,1.226432,1.0,7740.0,129.0
2022-07-07 15:32:45.389,20.929577,1.170117,22.015562,-1.733525,0.064044,0.06748,0.119161,1.070844,1.0,7741.0,129.01666666666668
