Time,Temperature TS outlet (Mean),Temperature TS inlet (Mean),Bypass temperature (Mean),Tank temperature (Mean),TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Flow rate (Mean),reading_interval_s,elapsed_runtime_s,elapsed_runtime_m
2018-09-06 13:15:49.552,21.812179,-0.83663,22.027508,-1.115342,0.080111,0.106848,0.185218,0.882251,1.0,1527.0,25.45
2018-09-06 13:15:50.552,21.813098,-0.828361,22.023045,-1.111274,0.07968,0.106801,0.184418,0.698374,1.0,1528.0,25.466666666666665
2018-09-06 13:15:51.552,21.813885,-0.824424,22.028296,-1.10983,0.080699,0.107273,0.183646,1.056699,1.0,1529.0,25.483333333333334
2018-09-06 13:15:52.552,21.816248,-0.83348,22.027508,-1.107205,0.08042,0.107557,0.182985,0.580504,1.0,1530.0,25.5
2018-09-06 13:15:53.552,21.813492,-0.840962,22.028821,-1.111536,0.08051,0.107273,0.182562,0.66537,1.0,1531.0,25.516666666666666
2018-09-06 13:15:54.552,21.812967,-0.822061,22.028165,-1.108517,0.08009,0.10585,0.182737,0.651226,1.0,1532.0,25.533333333333335
2018-09-06 13:15:55.552,21.809816,-0.829674,22.026064,-1.112192,0.079864,0.108166,0.181717,0.778526,1.0,1533.0,25.55
2018-09-06 13:15:56.552,21.818479,-0.812348,22.028427,-1.112324,0.079055,0.107499,0.181616,0.952974,1.0,1534.0,25.566666666666666
2018-09-06 13:15:57.552,21.818086,-0.805917,22.026327,-1.110749,0.079223,0.107704,0.181212,0.618222,1.0,1535.0,25.583333333333332
2018-09-06 13:15:58.552,21.816248,-0.805523,22.023964,-1.110749,0.078562,0.109232,0.181304,0.646511,1.0,1536.0,25.6
2018-09-06 13:15:59.552,21.812048,-0.809198,22.024358,-1.113636,0.077748,0.109762,0.181598,0.849248,1.0,1537.0,25.616666666666667
2018-09-06 13:16:00.552,21.81231,-0.805917,22.02567,-1.11508,0.078551,0.109988,0.181203,1.113277,1.0,1538.0,25.633333333333333
2018-09-06 13:16:01.552,21.806928,-0.805261,22.02147,-1.11193,0.078929,0.108475,0.180743,0.839818,1.0,1539.0,25.65
2018-09-06 13:16:02.552,21.807847,-0.79371,22.015956,-1.117442,0.079139,0.109321,0.181111,0.571074,1.0,1540.0,25.666666666666668
2018-09-06 13:16:03.552,21.810341,-0.785441,22.017663,-1.123086,0.079517,0.108791,0.179751,0.363622,1.0,1541.0,25.683333333333334
2018-09-06 13:16:04.552,21.809422,-0.78006,22.019107,-1.117836,0.078808,0.108906,0.1801,0.613507,1.0,1542.0,25.7
2018-09-06 13:16:05.552,21.814017,-0.777435,22.014906,-1.120067,0.078367,0.110555,0.180413,1.15571,1.0,1543.0,25.716666666666665
2018-09-06 13:16:06.552,21.816117,-0.774285,22.017006,-1.120855,0.077107,0.110612,0.180027,1.014266,1.0,1544.0,25.733333333333334
2018-09-06 13:16:07.552,21.815329,-0.764309,22.013987,-1.117967,0.078084,0.110612,0.179889,0.929399,1.0,1545.0,25.75
2018-09-06 13:16:08.552,21.82163,-0.75919,22.015562,-1.12348,0.077953,0.11056,0.180073,0.976548,1.0,1546.0,25.766666666666666
2018-09-06 13:16:09.552,21.819136,-0.777828,22.019501,-1.11613,0.078304,0.110555,0.179641,0.703089,1.0,1547.0,25.783333333333335
2018-09-06 13:16:10.552,21.821892,-0.765228,22.011755,-1.127155,0.077674,0.11099,0.179503,1.018981,1.0,1548.0,25.8
2018-09-06 13:16:11.552,21.824911,-0.750003,22.013462,-1.122299,0.078147,0.112382,0.178704,0.754952,1.0,1549.0,25.816666666666666
2018-09-06 13:16:12.552,21.824911,-0.741602,22.014644,-1.121117,0.077769,0.11141,0.179264,0.896396,1.0,1550.0,25.833333333333332
2018-09-06 13:16:13.552,21.834625,-0.738321,22.014644,-1.125842,0.078163,0.111857,0.179347,0.91997,1.0,1551.0,25.85
2018-09-06 13:16:14.552,21.833968,-0.731102,22.01018,-1.126892,0.077281,0.110649,0.17931,0.858677,1.0,1552.0,25.866666666666667
2018-09-06 13:16:15.552,21.835412,-0.734252,22.016744,-1.12663,0.078278,0.111804,0.179347,0.858677,1.0,1553.0,25.883333333333333
2018-09-06 13:16:16.552,21.833837,-0.722177,22.013725,-1.12453,0.078472,0.11181,0.178593,0.830388,1.0,1554.0,25.9
2018-09-06 13:16:17.552,21.840138,-0.724933,22.012806,-1.12558,0.077312,0.11036,0.178979,1.070844,1.0,1555.0,25.916666666666668
2018-09-06 13:16:18.552,21.840006,-0.70892,22.013462,-1.119674,0.078157,0.111505,0.178391,0.91997,1.0,1556.0,25.933333333333334
2018-09-06 13:16:19.552,21.839481,-0.715089,22.013725,-1.123349,0.077538,0.110129,0.178281,0.825674,1.0,1557.0,25.95
2018-09-06 13:16:20.552,21.842238,-0.709707,22.016088,-1.122561,0.078751,0.111363,0.178621,1.089703,1.0,1558.0,25.966666666666665
2018-09-06 13:16:21.552,21.850245,-0.711808,22.014775,-1.12663,0.077916,0.110654,0.178382,0.698374,1.0,1559.0,25.983333333333334
2018-09-06 13:16:22.552,21.849195,-0.696057,22.015956,-1.129649,0.077984,0.111479,0.178005,0.66537,1.0,1560.0,26.0
2018-09-06 13:16:23.552,21.855495,-0.695401,22.016219,-1.122955,0.078184,0.110896,0.177987,0.849248,1.0,1561.0,26.016666666666666
2018-09-06 13:16:24.552,21.855364,-0.68385,22.018713,-1.127417,0.078094,0.110387,0.177776,0.891681,1.0,1562.0,26.033333333333335
2018-09-06 13:16:25.552,21.859958,-0.690807,22.019763,-1.130174,0.078058,0.110833,0.177583,0.712518,1.0,1563.0,26.05
2018-09-06 13:16:26.552,21.858908,-0.687132,22.023045,-1.130305,0.078856,0.112623,0.177996,1.051984,1.0,1564.0,26.066666666666666
2018-09-06 13:16:27.552,21.851951,-0.678338,22.026458,-1.12663,0.078462,0.113175,0.177739,0.627652,1.0,1565.0,26.083333333333332
2018-09-06 13:16:28.552,21.858908,-0.682538,22.024358,-1.127024,0.078934,0.112497,0.177307,0.976548,1.0,1566.0,26.1
2018-09-06 13:16:29.552,21.861139,-0.671512,22.026589,-1.127286,0.078289,0.111993,0.177831,0.575789,1.0,1567.0,26.116666666666667
2018-09-06 13:16:30.552,21.858383,-0.667312,22.023439,-1.132142,0.0778,0.110901,0.177656,0.952974,1.0,1568.0,26.133333333333333
