Time,Pressure before pump (Arith. Mean),Pressure after pump (Arith. Mean),Differential pressure (Arith. Mean),Flow rate (Arith. Mean),Tank temperature (Arith. Mean),Temperature TS inlet (Arith. Mean),Temperature TS outlet (Arith. Mean),Bypass temperature (Arith. Mean),reading_interval_s,elapsed_runtime_s,elapsed_runtime_m
2021-08-21 12:07:48.414,0.320228,0.002467,0.141288,405.855054,21.619797,-1.034588,-0.109976,0.800397,2.5,3607.964,60.132733333333334
2021-08-21 12:07:50.914,0.319833,0.00239,0.141049,406.103996,21.620847,-1.023353,-0.113494,0.799505,2.5,3610.464,60.1744
2021-08-21 12:07:53.415,0.319423,0.002424,0.140697,406.30402,21.615917,-1.00871,-0.120745,0.799054,2.501,3612.965,60.21608333333334
2021-08-21 12:07:55.913,0.314441,0.00229,0.13749,402.862879,21.616321,-1.035071,-0.103599,0.80193,2.498,3615.463,60.25771666666667
2021-08-21 12:07:58.414,0.314305,0.002415,0.137531,400.852111,21.6166,-1.029597,-0.126256,0.802939,2.501,3617.964,60.2994
2021-08-21 12:08:00.913,0.314213,0.002415,0.137449,401.736139,21.620475,-1.030234,-0.135652,0.80295,2.499,3620.463,60.34105
2021-08-21 12:08:03.414,0.313887,0.002417,0.136774,401.366762,21.6166,-1.052899,-0.115601,0.807243,2.501,3622.964,60.382733333333334
2021-08-21 12:08:05.913,0.314365,0.002541,0.137515,401.762552,21.618322,-1.055182,-0.121102,0.80794,2.499,3625.463,60.42438333333334
2021-08-21 12:08:08.414,0.314628,0.002695,0.137332,401.547738,21.618646,-1.045394,-0.137592,0.804828,2.501,3627.964,60.46606666666666
2021-08-21 12:08:10.913,0.313684,0.002511,0.136717,401.787079,21.618164,-1.068838,-0.112908,0.80857,2.499,3630.463,60.50771666666667
2021-08-21 12:08:13.412,0.314766,0.002402,0.137302,401.802173,21.615013,-1.060749,-0.132553,0.805366,2.499,3632.962,60.549366666666664
2021-08-21 12:08:15.913,0.31373,0.002525,0.13698,401.596753,21.611089,-1.062083,-0.127043,0.805721,2.501,3635.463,60.59105
2021-08-21 12:08:18.412,0.313232,0.002549,0.136408,401.35503,21.616484,-1.067,-0.132238,0.805891,2.499,3637.962,60.6327
2021-08-21 12:08:20.913,0.313705,0.002441,0.136726,401.223489,21.616337,-1.084177,-0.111403,0.807715,2.501,3640.463,60.67438333333334
2021-08-21 12:08:23.412,0.313787,0.002459,0.136585,402.170075,21.6137,-1.077924,-0.14269,0.811144,2.499,3642.962,60.716033333333336
2021-08-21 12:08:25.913,0.31328,0.002434,0.13673,401.613719,21.618174,-1.067908,-0.146829,0.811652,2.501,3645.463,60.75771666666667
2021-08-21 12:08:28.412,0.314035,0.002366,0.136522,402.517224,21.613648,-1.076664,-0.126723,0.810671,2.499,3647.962,60.799366666666664
2021-08-21 12:08:30.911,0.314497,0.002356,0.137191,402.041781,21.613227,-1.08055,-0.139119,0.809358,2.499,3650.461,60.84101666666666
2021-08-21 12:08:33.410,0.313052,0.00248,0.136232,401.449364,21.614593,-1.072672,-0.151515,0.807362,2.499,3652.96,60.882666666666665
