Time,Pressure before pump (Arith. Mean),Pressure after pump (Arith. Mean),Differential pressure (Arith. Mean),Flow rate (Arith. Mean),Tank temperature (Arith. Mean),Temperature TS inlet (Arith. Mean),Temperature TS outlet (Arith. Mean),Bypass temperature (Arith. Mean),reading_interval_s
2021-08-21 11:39:11.837,0.186945,0.002396,0.026379,405.40809,21.690619,-0.980354,-0.240923,0.305313,1.0
2021-08-21 11:39:12.832,0.18534,0.002423,0.026547,402.819636,21.692109,-0.982519,-0.244496,0.314821,0.995
2021-08-21 11:39:13.836,0.186993,0.002452,0.026726,402.167871,21.694823,-0.985357,-0.238795,0.314171,1.004
2021-08-21 11:39:14.832,0.185901,0.002403,0.026351,403.197394,21.695341,-0.983085,-0.235423,0.311673,0.996
2021-08-21 11:39:15.836,0.184817,0.002447,0.025976,401.594956,21.689724,-0.989148,-0.219185,0.307764,1.004
2021-08-21 11:39:16.836,0.186641,0.002496,0.026535,400.433967,21.696394,-0.988885,-0.227272,0.312927,1.0
2021-08-21 11:39:17.836,0.186457,0.002533,0.026397,400.96674,21.688125,-0.987967,-0.22294,0.313321,1.0
2021-08-21 11:39:18.836,0.186541,0.00238,0.026177,401.207196,21.692587,-0.977204,-0.220183,0.316734,1.0
2021-08-21 11:39:19.836,0.186032,0.002464,0.026011,401.306207,21.692194,-0.984816,-0.209551,0.31634,1.0
2021-08-21 11:39:20.836,0.185806,0.002617,0.026213,401.655102,21.6981,-0.98311,-0.203513,0.320147,1.0
2021-08-21 11:39:21.836,0.187202,0.00248,0.026471,401.499514,21.7002,-0.987442,-0.199444,0.323035,1.0
2021-08-21 11:39:22.836,0.187654,0.00248,0.026544,403.036541,21.6939,-0.975366,-0.192356,0.316996,1.0
2021-08-21 11:39:23.836,0.186074,0.002491,0.026268,402.44719,21.689437,-0.996761,-0.187368,0.321328,1.0
2021-08-21 11:39:24.836,0.186315,0.002475,0.026415,401.131759,21.697575,-1.003717,-0.181461,0.319228,1.0
2021-08-21 11:39:25.836,0.186798,0.002349,0.026342,401.395788,21.695606,-0.990329,-0.188681,0.318834,1.0
2021-08-21 11:39:26.836,0.18632,0.002401,0.026296,401.240199,21.6918,-0.978123,-0.175948,0.324479,1.0
2021-08-21 11:39:27.836,0.186908,0.002496,0.026507,400.924307,21.690356,-0.981273,-0.172404,0.32146,1.0
2021-08-21 11:39:28.836,0.186809,0.002422,0.02625,401.292062,21.688519,-0.978648,-0.174242,0.324348,1.0
2021-08-21 11:39:29.836,0.185864,0.00226,0.026654,401.310921,21.694294,-0.977729,-0.182774,0.329074,1.0
2021-08-21 11:39:30.836,0.186131,0.002438,0.026342,401.193051,21.691144,-0.984816,-0.165579,0.32461,1.0
2021-08-21 11:39:31.836,0.187271,0.002664,0.026691,401.372214,21.693244,-0.970641,-0.148383,0.328417,1.0
2021-08-21 11:39:32.836,0.186268,0.002359,0.026305,401.325066,21.699806,-0.996761,-0.153765,0.333012,1.0
2021-08-21 11:39:33.836,0.186824,0.002375,0.026121,399.118536,21.696131,-0.99151,-0.154421,0.329992,1.0
2021-08-21 11:39:34.831,0.186923,0.002708,0.026085,400.128168,21.690658,-0.979485,-0.146611,0.324452,0.995
2021-08-21 11:39:35.834,0.186616,0.002708,0.026363,400.363085,21.695411,-0.983096,-0.15004,0.330385,1.003
2021-08-21 11:39:36.831,0.185486,0.002514,0.025999,400.34449,21.696066,-0.980492,-0.148823,0.329598,0.997
2021-08-21 11:39:37.834,0.186595,0.002577,0.026125,398.915268,21.694625,-0.974852,-0.13342,0.332741,1.003
2021-08-21 11:39:38.834,0.1862,0.002517,0.026085,399.344846,21.685631,-0.970116,-0.127907,0.33183,1.0
2021-08-21 11:39:39.831,0.185986,0.002546,0.026238,399.176428,21.693565,-0.999976,-0.143557,0.334733,0.997
2021-08-21 11:39:40.834,0.187694,0.002593,0.026289,400.104546,21.695411,-0.981918,-0.135121,0.33418,1.003
2021-08-21 11:39:41.834,0.186746,0.002459,0.026627,400.712141,21.693637,-0.985998,-0.136439,0.335375,1.0
2021-08-21 11:39:42.834,0.18725,0.002433,0.026305,399.85876,21.695344,-0.983373,-0.130269,0.334456,1.0
2021-08-21 11:39:44.335,0.186859,0.002449,0.02635,399.764304,21.69259,-0.98729,-0.131714,0.333447,1.501
2021-08-21 11:39:45.335,0.187029,0.002428,0.026581,399.684313,21.69285,-0.976285,-0.116356,0.339707,1.0
2021-08-21 11:39:46.335,0.185758,0.002522,0.026314,400.23123,21.693506,-0.985998,-0.110318,0.339575,1.0
2021-08-21 11:39:47.335,0.187969,0.002496,0.025965,397.958693,21.689044,-0.98101,-0.114255,0.3359,1.0
2021-08-21 11:39:48.330,0.187234,0.002602,0.026584,400.265584,21.686569,-0.992808,-0.112312,0.335402,0.995
2021-08-21 11:39:49.333,0.186919,0.00254,0.026234,400.786149,21.692139,-0.978385,-0.105676,0.339939,1.003
2021-08-21 11:39:50.330,0.187545,0.002556,0.026358,400.141143,21.694355,-1.001424,-0.102743,0.340526,0.997
2021-08-21 11:39:51.333,0.186454,0.002671,0.026335,400.419494,21.692401,-0.994088,-0.113921,0.339939,1.003
2021-08-21 11:39:52.335,0.188261,0.002419,0.026493,400.822699,21.689843,-0.989214,-0.109709,0.339687,1.002
2021-08-21 11:39:53.330,0.185847,0.002518,0.026132,401.60658,21.693824,-0.984761,-0.102813,0.338833,0.995
2021-08-21 11:39:54.333,0.18593,0.002514,0.025767,399.587469,21.693186,-0.982442,-0.108293,0.342295,1.003
2021-08-21 11:39:55.333,0.187307,0.002543,0.026112,399.028954,21.688256,-0.969328,-0.105198,0.344826,1.0
2021-08-21 11:39:56.832,0.186908,0.002504,0.025819,399.824385,21.692935,-0.985229,-0.103778,0.3458,1.499
2021-08-21 11:39:57.834,0.187186,0.00265,0.025962,398.992299,21.696,-0.990262,-0.105517,0.348596,1.002
2021-08-21 11:39:59.333,0.185465,0.002557,0.02634,398.371256,21.691885,-0.993548,-0.101064,0.345011,1.499
2021-08-21 11:40:00.832,0.185661,0.002532,0.026512,400.063428,21.694949,-0.994511,-0.094672,0.344136,1.499
2021-08-21 11:40:02.831,0.185387,0.002551,0.026481,399.494527,21.695573,-0.978954,-0.10722,0.34687,1.999
2021-08-21 11:40:04.831,0.185352,0.002585,0.025965,400.214728,21.693572,-0.981863,-0.083737,0.345877,2.0
2021-08-21 11:40:06.832,0.184804,0.002557,0.026006,398.582697,21.694458,-0.994215,-0.078973,0.353216,2.001
